区间,历史T,模型E,模型等级,等级时间,等级能耗,能耗差异(Wh),优化比例(%)
布政-张家潭,112.2,14382.77,Class1,107.0,15516.79,1134.02,-7.88
张家潭-同德路,149.0,17606.57,Class1,141.0,17923.7,317.13,-1.8
同德路-石碶,103.4,13709.45,Class2,104.0,13308.67,-400.78,2.92
石碶-雅渡,76.6,12759.6,Class5,90.0,6662.94,-6096.66,47.78
雅渡-庙堰,131.4,20197.86,Class1,123.0,21341.48,1143.62,-5.66
庙堰-钟公庙,91.8,12735.47,Class1,89.0,13339.19,603.72,-4.74
钟公庙-鄞州区政府,87.2,11181.6,Class4,95.0,6695.54,-4486.06,40.12
鄞州区政府-钱湖南路,125.6,18051.85,Class2,128.0,17033.83,-1018.02,5.64
钱湖南路-南高教园区,94.4,15128.96,Class5,111.0,8843.87,-6285.09,41.54
南高教园区-下应路,108.6,18876.71,Class1,105.0,19414.13,537.42,-2.85
下应路-大洋江,100.6,12283.55,Class2,101.0,12178.9,-104.65,0.85
大洋江-泗港,88.0,11298.66,Class3,92.0,10154.77,-1143.89,10.12
泗港-曹隘,131.8,18506.72,Class1,122.0,19204.23,697.51,-3.77
曹隘-柳隘,104.2,15758.48,Class1,101.0,16348.42,589.94,-3.74
柳隘-海晏北路,86.4,12825.05,Class3,92.0,10375.8,-2449.25,19.1
海晏北路-民安东路,81.2,14437.71,Class2,83.0,13485.95,-951.76,6.59
民安东路-会展中心,74.5,11191.08,Class4,83.0,5015.24,-6175.84,55.19
会展中心-院士路,112.8,14893.92,Class1,107.0,15079.95,186.03,-1.25
院士路-盎孟港,88.4,15677.33,Class2,88.0,15804.26,126.93,-0.81
盎孟港-三官堂,128.8,17588.44,Class1,126.0,17981.72,393.28,-2.24
三官堂-兴庄路,95.8,12185.33,Class1,94.0,12168.59,-16.74,0.14
兴庄路-兴海南路,85.8,14098.02,Class5,100.0,6369.52,-7728.5,54.82
兴海南路-梅堰,78.9,12640.01,Class3,82.0,10170.28,-2469.73,19.54
梅堰-永茂路,315.0,20788.75,Class1,284.0,25443.04,4654.29,-22.39
永茂路-镇海大道,139.8,15804.72,Class1,135.0,16296.41,491.69,-3.11
镇海大道-骆驼桥,114.4,19355.08,Class4,128.0,14273.39,-5081.69,26.26
--- 全线总计 ---,2906.6,393963.69,-,2911.0,360430.61,-33533.08,8.51
