区间,历史T,模型E,模型等级,等级时间,等级能耗,能耗差异(Wh),优化比例(%)
布政-张家潭,112.2,13901.11,Class1,107.0,15389.53,1488.42,-10.71
张家潭-同德路,149.0,16985.15,Class1,141.0,17816.11,830.96,-4.89
同德路-石碶,103.4,14353.91,Class1,99.0,14433.91,80.0,-0.56
石碶-雅渡,76.6,12218.72,Class5,90.0,7289.62,-4929.1,40.34
雅渡-庙堰,131.4,19745.55,Class1,123.0,21594.09,1848.54,-9.36
庙堰-钟公庙,91.8,14654.44,Class3,96.0,11961.56,-2692.88,18.38
钟公庙-鄞州区政府,87.2,13214.03,Class4,95.0,6588.35,-6625.68,50.14
鄞州区政府-钱湖南路,125.6,18068.18,Class2,128.0,16930.48,-1137.7,6.3
钱湖南路-南高教园区,94.4,16090.28,Class2,96.0,14517.83,-1572.45,9.77
南高教园区-下应路,108.6,19531.75,Class3,114.0,17528.21,-2003.54,10.26
下应路-大洋江,100.6,12411.72,Class3,106.0,11408.37,-1003.35,8.08
大洋江-泗港,88.0,11444.68,Class2,87.0,11952.06,507.38,-4.43
泗港-曹隘,131.8,23571.46,Class3,130.0,25420.41,1848.95,-7.84
曹隘-柳隘,104.2,18015.49,Class3,108.0,14702.62,-3312.87,18.39
柳隘-海晏北路,86.4,12785.85,Class3,92.0,10096.12,-2689.73,21.04
海晏北路-民安东路,81.2,15785.89,Class5,94.0,8330.74,-7455.15,47.23
民安东路-会展中心,74.5,12808.58,Class4,83.0,4969.16,-7839.42,61.2
会展中心-院士路,112.8,14694.14,Class1,107.0,14884.57,190.43,-1.3
院士路-盎孟港,88.4,16783.42,Class3,91.0,14855.72,-1927.7,11.49
盎孟港-三官堂,128.8,17238.64,Class1,126.0,17990.9,752.26,-4.36
兴庄路-兴海南路,85.8,15986.48,Class4,96.0,7398.02,-8588.46,53.72
兴海南路-梅堰,78.9,11904.73,Class1,75.0,12434.68,529.95,-4.45
永茂路-镇海大道,139.8,17034.34,Class2,141.0,15609.21,-1425.13,8.37
镇海大道-骆驼桥,114.4,19252.85,Class1,111.0,19323.48,70.63,-0.37
