区间,历史T,模型E,模型等级,等级时间,等级能耗,能耗差异(Wh),优化比例(%)
布政-张家潭,112.2,15389.53,Class1,107.0,15511.25,121.72,-0.79
张家潭-同德路,149.0,17816.11,Class2,148.0,17649.72,-166.39,0.93
同德路-石碶,103.4,14433.91,Class2,104.0,13301.06,-1132.85,7.85
石碶-雅渡,76.6,12414.5,Class2,80.0,10941.91,-1472.59,11.86
雅渡-庙堰,131.4,21594.09,Class2,129.0,20753.76,-840.33,3.89
庙堰-钟公庙,91.8,11961.56,Class2,93.0,12419.68,458.12,-3.83
钟公庙-鄞州区政府,87.2,8754.7,Class3,90.0,8835.31,80.61,-0.92
鄞州区政府-钱湖南路,125.6,18707.06,Class2,128.0,16966.29,-1740.77,9.31
钱湖南路-南高教园区,94.4,14517.83,Class2,96.0,14475.38,-42.45,0.29
南高教园区-下应路,108.6,17528.21,Class2,110.0,18424.65,896.44,-5.11
下应路-大洋江,100.6,11408.37,Class2,101.0,12205.38,797.01,-6.99
大洋江-泗港,88.0,11952.06,Class2,87.0,11670.51,-281.55,2.36
泗港-曹隘,131.8,25420.41,Class4,137.0,20195.54,-5224.87,20.55
曹隘-柳隘,104.2,14702.62,Class1,101.0,16346.79,1644.17,-11.18
柳隘-海晏北路,86.4,13666.17,Class2,87.0,12182.66,-1483.51,10.86
海晏北路-民安东路,81.2,10139.18,Class2,83.0,13493.55,3354.37,-33.08
民安东路-会展中心,74.5,4969.16,Class3,79.0,6766.84,1797.68,-36.18
会展中心-院士路,112.8,14884.57,Class3,115.0,14431.8,-452.77,3.04
院士路-盎孟港,88.4,14855.72,Class2,88.0,15782.05,926.33,-6.24
盎孟港-三官堂,128.8,17990.9,Class2,132.0,16839.96,-1150.94,6.4
三官堂-兴庄路,95.8,12133.08,Class2,99.0,11553.73,-579.35,4.77
兴庄路-兴海南路,85.8,7398.02,Class4,96.0,7785.33,387.31,-5.24
兴海南路-梅堰,78.9,12434.68,Class3,82.0,10204.19,-2230.49,17.94
梅堰-永茂路,315.0,28745.24,Class1,284.0,35253.78,6508.54,-22.64
永茂路-镇海大道,139.8,15609.21,Class2,141.0,15433.68,-175.53,1.12
镇海大道-骆驼桥,114.4,19323.48,Class3,122.0,16241.84,-3081.64,15.95
