send_order,section,trip_no,run_id_filter,selection_mode,global_trip_id,traceability_segment,traceability_source_run_id,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,8,,traceability,UP008_20240701_214424_R382,7,382,07/0170107,7,1,2327,cruise-avg,64.02,44.24,64.02,1033,65.52,65.24,64.51,0,64.02,single-route,editSpeed-106-R:STA_1_[106]-STA_2_[110],0,editSpeed-106-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip008,"<setPositionSpeed trainID=""priority_history_trip008"" speed=""64.02"" startRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,8,,traceability,UP008_20240701_214424_R382,7,383,07/0170107,7,1,3005,cruise-avg,63.52,48.41,63.52,1720,65.41,65.08,64.39,0,63.52,single-route,editSpeed-110-R:STA_2_[110]-STA_3_[844],0,editSpeed-110-R:STA_2_[110]-STA_3_[844],999999,priority_history_trip008,"<setPositionSpeed trainID=""priority_history_trip008"" speed=""63.52"" startRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" startRouteOffset=""0"" endRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" endRouteOffset=""999999""/>",
3,同德路-石碶,8,,traceability,UP008_20240701_214424_R382,7,384,07/0170107,7,1,2227,cruise-avg,63.63,43.01,63.63,958,64.42,64.36,64.23,0,63.63,single-route,editSpeed-844-R:STA_3_[844]-STA_4_[975],0,editSpeed-844-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip008,"<setPositionSpeed trainID=""priority_history_trip008"" speed=""63.63"" startRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,8,,traceability,UP008_20240701_214424_R382,7,385,07/0170107,7,1,1670,cruise-avg,68.2,35.67,68.2,159,70.26,70.19,68.35,0,68.2,single-route,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip008,"<setPositionSpeed trainID=""priority_history_trip008"" speed=""68.2"" startRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,8,,traceability,UP008_20240701_214424_R382,7,386,07/0170107,7,1,2619,cruise-avg,75.23,51.16,75.23,1116,76.91,76.65,75.69,0,75.23,single-route,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip008,"<setPositionSpeed trainID=""priority_history_trip008"" speed=""75.23"" startRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",
6,庙堰-钟公庙,8,,traceability,UP008_20240701_214424_R382,7,387,07/0170107,7,1,1907,cruise-avg,68.31,41.08,68.31,564,71.06,70.89,68.63,0,68.31,single-route,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],999999,priority_history_trip008,"<setPositionSpeed trainID=""priority_history_trip008"" speed=""68.31"" startRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" startRouteOffset=""0"" endRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" endRouteOffset=""999999""/>",
7,钟公庙-鄞州区政府,8,,traceability,UP008_20240701_214424_R382,7,388,07/0170107,7,1,1807,cruise-avg,66.54,39.25,66.54,526,67.34,67.29,67.13,0,66.54,single-route,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],999999,priority_history_trip008,"<setPositionSpeed trainID=""priority_history_trip008"" speed=""66.54"" startRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" startRouteOffset=""0"" endRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" endRouteOffset=""999999""/>",
8,鄞州区政府-钱湖南路,8,,traceability,UP008_20240701_214424_R382,7,389,07/0170107,7,1,2649,cruise-avg,69.92,49.24,69.92,1293,70.93,70.78,70.51,0,69.92,single-route,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],999999,priority_history_trip008,"<setPositionSpeed trainID=""priority_history_trip008"" speed=""69.92"" startRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" startRouteOffset=""0"" endRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" endRouteOffset=""999999""/>",
9,钱湖南路-南高教园区,8,,traceability,UP008_20240701_214424_R382,7,390,07/0170107,7,1,2003,cruise-avg,66.9,42.02,66.9,651,70.16,69.83,67.21,0,66.9,single-route,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],999999,priority_history_trip008,"<setPositionSpeed trainID=""priority_history_trip008"" speed=""66.9"" startRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" startRouteOffset=""0"" endRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" endRouteOffset=""999999""/>",
10,南高教园区-下应路,8,,traceability,UP008_20240701_214424_R382,7,391,07/0170107,7,1,2304,cruise-avg,68.93,45.4,68.93,947,70.04,69.9,69.69,0,68.93,single-route,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],999999,priority_history_trip008,"<setPositionSpeed trainID=""priority_history_trip008"" speed=""68.93"" startRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" startRouteOffset=""0"" endRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" endRouteOffset=""999999""/>",
