站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,27.0,30.0,-3.0,117.3,12947.63,13157.57,13153.48,历史原始实测能耗,209.94,real,class3,class3,80,80,strong,real_only,215.24,UP006_20240701_171011_R274,5.0,274.0
张家潭-同德路,class2,148.0,27.0,30.0,-3.0,150.65,17599.22,17544.99,17466.44,历史原始实测能耗,-54.23,real,class2,class2,8,8,strong,real_only,215.24,UP006_20240701_171011_R274,5.0,275.0
同德路-石碶,class3,109.0,31.0,34.0,-3.0,105.25,13094.43,15224.39,15073.98,历史原始实测能耗,2129.96,real,class3,class3,60,60,strong,real_only,215.24,UP006_20240701_171011_R274,5.0,276.0
石碶-雅渡,class2,80.0,26.0,29.0,-3.0,78.75,11150.34,12939.97,12960.75,历史原始实测能耗,1789.63,real,class2,class2,38,38,strong,real_only,216.44,UP006_20240701_171011_R274,5.0,277.0
雅渡-庙堰,class4,139.0,27.0,30.0,-3.0,133.65,18278.65,20940.58,19857.84,历史原始实测能耗,2661.93,real,class4,class4,10,10,strong,real_only,216.74,UP006_20240701_171011_R274,5.0,278.0
庙堰-钟公庙,class3,96.0,26.0,29.0,-3.0,94.5,12670.01,15968.47,15681.17,历史原始实测能耗,3298.46,real,class3,class3,84,84,strong,real_only,216.74,UP006_20240701_171011_R274,5.0,279.0
钟公庙-鄞州区政府,class4,95.0,37.0,40.0,-3.0,89.1,8064.58,13551.39,13456.3,历史原始实测能耗,5486.81,real,class4,class4,1,1,weak,real_only,217.14,UP006_20240701_171011_R274,5.0,280.0
鄞州区政府-钱湖南路,class3,132.1,26.0,29.0,-3.0,126.5,16646.24,18803.25,18419.28,历史原始实测能耗,2157.01,real,class3,class3,62,62,strong,real_only,220.12,UP006_20240701_171011_R274,5.0,281.0
钱湖南路-南高教园区,class3,100.0,32.0,35.0,-3.0,96.9,14077.79,15653.37,15330.54,历史原始实测能耗,1575.58,real,class3,class3,63,63,strong,real_only,220.72,UP006_20240701_171011_R274,5.0,282.0
南高教园区-下应路,class3,114.0,27.0,30.0,-3.0,110.3,18936.36,20574.15,20230.87,历史原始实测能耗,1637.79,real,class3,class3,63,63,strong,real_only,220.9,UP006_20240701_171011_R274,5.0,283.0
下应路-大洋江,class3,106.0,26.0,29.0,-3.0,101.75,11784.42,14998.7,14791.77,历史原始实测能耗,3214.28,real,class3,class3,65,65,strong,real_only,220.6,UP006_20240701_171011_R274,5.0,284.0
大洋江-泗港,class3,92.0,26.0,29.0,-3.0,91.25,11035.64,12113.82,11832.82,历史原始实测能耗,1078.18,real,class3,class3,99,99,strong,real_only,220.5,UP006_20240701_171011_R274,5.0,285.0
泗港-曹隘,class4,137.0,28.0,31.0,-3.0,133.95,23674.93,23563.21,23565.45,历史原始实测能耗,-111.72,real,class4,class4,82,82,strong,real_only,222.4,UP006_20240701_171011_R274,5.0,286.0
