站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,118.3,118.3,30.0,148.3,1428.84,1428.0,43.48,64.09,43.46,2367,62.66,1114,62.94,63.83,14067.72,215.24,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,150.45,150.45,30.0,180.45,2020.39,2017.0,48.34,64.94,48.33,3010,63.41,1766,64.02,64.64,18189.17,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,108.7,108.7,30.0,138.7,1330.84,1332.0,44.08,69.14,44.06,2175,68.01,837,68.32,68.95,13670.19,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,82.15,82.15,30.0,112.15,828.14,827.0,36.29,71.63,36.27,1644,69.82,256,70.77,71.52,11920.1,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,132.5,132.5,30.0,162.5,1860.35,1860.0,50.55,74.75,50.53,2651,73.53,1202,74.06,74.6,20461.39,215.94,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,96.1,96.1,30.0,126.1,1087.23,1086.0,40.73,69.42,40.71,1923,67.66,553,68.33,69.27,12789.84,215.94,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,89.6,89.6,30.0,119.6,985.63,984.0,39.6,76.03,39.58,1793,73.32,141,72.49,75.72,13068.27,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,132.25,132.25,30.0,162.25,1812.13,1811.0,49.33,71.32,49.31,2646,70.63,1252,71.08,71.18,16309.15,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,100.85,100.85,30.0,130.85,1169.15,1155.0,41.73,68.93,41.71,2018,66.51,677,66.77,68.53,13899.66,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,113.4,113.4,30.0,143.4,1452.98,1452.0,46.13,71.21,46.11,2269,70.37,901,70.83,71.07,18817.46,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,106.6,106.6,30.0,136.6,1213.89,1214.0,40.99,61.77,40.98,2133,61.22,887,61.61,61.72,11049.78,215.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,30,29,07/0570529,70529,5014,UP,工作日平峰,0.0,91.35,91.35,30.0,121.35,958.35,957.0,37.77,63.11,37.75,1828,60.58,604,61.12,62.78,11472.19,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
