section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
雅渡-庙堰,23,2675,133.7,1860.517,20935.45,20750.626,-0.883,3,0,70423,07/0470423,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_23_07_0470423.jpg
雅渡-庙堰,24,2609,130.4,1860.775,21677.408,21221.387,-2.104,2,0,70424,07/0470424,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_24_07_0470424.jpg
雅渡-庙堰,25,2630,131.45,1861.055,21564.904,21525.299,-0.184,3,0,70425,07/0470425,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_25_07_0470425.jpg
雅渡-庙堰,26,2602,130.05,1859.509,21802.411,21277.095,-2.409,2,0,70526,07/0570526,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_26_07_0570526.jpg
雅渡-庙堰,27,2705,135.2,1860.189,20474.963,20339.192,-0.663,3,0,70527,07/0570527,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_27_07_0570527.jpg
雅渡-庙堰,28,2609,130.4,1860.716,21390.001,21133.409,-1.2,2,0,70528,07/0570528,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_28_07_0570528.jpg
雅渡-庙堰,29,2651,132.5,1860.352,20461.387,20273.47,-0.918,3,0,70529,07/0570529,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_29_07_0570529.jpg
雅渡-庙堰,30,2628,131.35,1860.377,21500.252,21348.689,-0.705,3,0,70530,07/0570530,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_30_07_0570530.jpg
雅渡-庙堰,31,2605,130.2,1861.183,21586.018,21408.69,-0.821,2,0,70531,07/0570531,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_31_07_0570531.jpg
雅渡-庙堰,32,2629,131.4,1860.34,21432.695,21184.379,-1.159,3,1,70532,07/0570532,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_32_07_0570532.jpg
