# step: energy_menu
# command: C:\Users\bit11\AppData\Local\Programs\Python\Python311\python.exe D:\energy_conservation\scripts\ato_generated_results_energy.py
# ENERGY_TRIP_NO: 1
# ENERGY_TRIP_INDEX: 0
# PYTHONIOENCODING: utf-8:replace
# started: 2026-05-25T15:29:59

🚀 开始批量评估 26 个区间的 ATO 轨迹能耗：第 1 趟车...
   ✅ 南高教园区-下应路 | class4 | 120.0s -> 总:19163.4Wh (物理:15348.2Wh + 残差:3815.3Wh)
   ✅ 南高教园区-下应路 | class5 | 126.0s -> 总:17125.0Wh (物理:14489.4Wh + 残差:2635.6Wh)
   ✅ 同德路-石碶 | class2 | 103.5s -> 总:14990.3Wh (物理:15381.1Wh + 残差:-390.8Wh)
   ✅ 同德路-石碶 | class3 | 109.05s -> 总:12706.0Wh (物理:12468.3Wh + 残差:237.6Wh)
   ✅ 同德路-石碶 | class4 | 113.95s -> 总:11576.2Wh (物理:11644.3Wh + 残差:-68.2Wh)
   ✅ 同德路-石碶 | class5 | 120.0s -> 总:10612.8Wh (物理:10901.0Wh + 残差:-288.2Wh)
   ✅ 大洋江-泗港 | class2 | 87.0s -> 总:13965.2Wh (物理:13292.2Wh + 残差:673.1Wh)
   ✅ 大洋江-泗港 | class3 | 92.0s -> 总:11394.9Wh (物理:9789.2Wh + 残差:1605.7Wh)
   ✅ 大洋江-泗港 | class4 | 96.0s -> 总:10221.9Wh (物理:8385.3Wh + 残差:1836.6Wh)
   ✅ 大洋江-泗港 | class5 | 101.0s -> 总:8632.5Wh (物理:7205.3Wh + 残差:1427.2Wh)
   ✅ 布政-张家潭 | class2 | 112.0s -> 总:13520.2Wh (物理:13202.0Wh + 残差:318.2Wh)
   ✅ 布政-张家潭 | class3 | 114.55s -> 总:13973.5Wh (物理:13706.4Wh + 残差:267.1Wh)
   ✅ 布政-张家潭 | class4 | 120.95s -> 总:12246.6Wh (物理:12973.0Wh + 残差:-726.4Wh)
   ✅ 布政-张家潭 | class5 | 127.05s -> 总:10896.7Wh (物理:12288.7Wh + 残差:-1392.0Wh)
   ✅ 庙堰-钟公庙 | class2 | 92.95s -> 总:15143.9Wh (物理:13505.3Wh + 残差:1638.6Wh)
   ✅ 庙堰-钟公庙 | class3 | 95.95s -> 总:12502.3Wh (物理:11127.4Wh + 残差:1374.9Wh)
   ✅ 庙堰-钟公庙 | class4 | 101.0s -> 总:10963.9Wh (物理:9364.8Wh + 残差:1599.1Wh)
   ✅ 庙堰-钟公庙 | class5 | 105.95s -> 总:9305.8Wh (物理:8250.5Wh + 残差:1055.3Wh)
   ✅ 张家潭-同德路 | class1 | 141.0s -> 总:17621.4Wh (物理:17520.3Wh + 残差:101.1Wh)
   ✅ 张家潭-同德路 | class2 | 148.0s -> 总:17803.6Wh (物理:17043.0Wh + 残差:760.7Wh)
   ✅ 张家潭-同德路 | class3 | 151.0s -> 总:17584.9Wh (物理:16901.6Wh + 残差:683.3Wh)
   ✅ 张家潭-同德路 | class4 | 159.0s -> 总:15095.8Wh (物理:15448.6Wh + 残差:-352.9Wh)
   ✅ 张家潭-同德路 | class5 | 165.95s -> 总:13193.5Wh (物理:14514.5Wh + 残差:-1321.0Wh)
   ✅ 曹隘-柳隘 | class2 | 105.95s -> 总:22613.0Wh (物理:14077.4Wh + 残差:8535.7Wh)
   ✅ 曹隘-柳隘 | class3 | 108.0s -> 总:20953.3Wh (物理:12898.7Wh + 残差:8054.5Wh)
   ✅ 曹隘-柳隘 | class4 | 113.0s -> 总:17907.5Wh (物理:11334.7Wh + 残差:6572.8Wh)
   ✅ 曹隘-柳隘 | class5 | 119.0s -> 总:15521.2Wh (物理:10580.5Wh + 残差:4940.6Wh)
   ✅ 柳隘-海晏北路 | class2 | 87.0s -> 总:13268.4Wh (物理:13895.4Wh + 残差:-627.0Wh)
   ✅ 柳隘-海晏北路 | class3 | 92.0s -> 总:11586.3Wh (物理:10553.8Wh + 残差:1032.6Wh)
   ✅ 柳隘-海晏北路 | class4 | 95.95s -> 总:10630.1Wh (物理:9139.8Wh + 残差:1490.3Wh)
   ✅ 柳隘-海晏北路 | class5 | 100.95s -> 总:9798.6Wh (物理:7879.1Wh + 残差:1919.6Wh)
   ✅ 梅堰-永茂路 | class3 | 313.0s -> 总:28226.7Wh (物理:25829.6Wh + 残差:2397.1Wh)
   ✅ 梅堰-永茂路 | class4 | 329.0s -> 总:25605.8Wh (物理:26523.2Wh + 残差:-917.4Wh)
