# step: historical_baseline
# command: C:\Users\bit11\AppData\Local\Programs\Python\Python311\python.exe D:\energy_conservation\scripts\full_line_validation_results.py
# ENERGY_TRIP_NO: 1
# ENERGY_TRIP_INDEX: 0
# PYTHONIOENCODING: utf-8:replace
# started: 2026-05-25T16:02:30

🚀 开始全线 26 个区间的历史数据验证：第 1 趟车...
[01/26] 正在处理: 布政-张家潭 ...
[02/26] 正在处理: 张家潭-同德路 ...
[03/26] 正在处理: 同德路-石碶 ...
[04/26] 正在处理: 石碶-雅渡 ...
[05/26] 正在处理: 雅渡-庙堰 ...
[06/26] 正在处理: 庙堰-钟公庙 ...
[07/26] 正在处理: 钟公庙-鄞州区政府 ...
[08/26] 正在处理: 鄞州区政府-钱湖南路 ...
[09/26] 正在处理: 钱湖南路-南高教园区 ...
[10/26] 正在处理: 南高教园区-下应路 ...
[11/26] 正在处理: 下应路-大洋江 ...
[12/26] 正在处理: 大洋江-泗港 ...
[13/26] 正在处理: 泗港-曹隘 ...
[14/26] 正在处理: 曹隘-柳隘 ...
[15/26] 正在处理: 柳隘-海晏北路 ...
[16/26] 正在处理: 海晏北路-民安东路 ...
[17/26] 正在处理: 民安东路-会展中心 ...
[18/26] 正在处理: 会展中心-院士路 ...
[19/26] 正在处理: 院士路-盎孟港 ...
[20/26] 正在处理: 盎孟港-三官堂 ...
[21/26] 正在处理: 三官堂-兴庄路 ...
[22/26] 正在处理: 兴庄路-兴海南路 ...
[23/26] 正在处理: 兴海南路-梅堰 ...
[24/26] 正在处理: 梅堰-永茂路 ...
[25/26] 正在处理: 永茂路-镇海大道 ...
[26/26] 正在处理: 镇海大道-骆驼桥 ...


============================================================
🔥 5号线全线 26 区间验证结果汇总
============================================================
      站间区间  历史运行时间(s)  历史实测能耗(Wh)  历史能耗(Wh)     物理占比         残差占比  误差(%)
    布政-张家潭     114.05    13456.41  13539.24 13718.78  -179.539993   0.62
   张家潭-同德路     149.05    17560.05  17619.42 17047.84   571.590027   0.34
    同德路-石碶     104.10    16320.79  16170.66 16744.89  -574.229980  -0.92
     石碶-雅渡      76.45    12331.13  12222.32 13004.95  -782.619995  -0.88
     雅渡-庙堰     131.20    20796.22  20867.73 19784.65  1083.079956   0.34
    庙堰-钟公庙      91.90    17126.85  17267.00 16000.47  1266.530029   0.82
 钟公庙-鄞州区政府      87.15    12495.91  12481.43 13692.15 -1210.719971  -0.12
鄞州区政府-钱湖南路     126.25    19602.29  19367.29 21735.80 -2368.510010  -1.20
钱湖南路-南高教园区      94.45    17193.43  17162.74 16177.80   984.950012  -0.18
 南高教园区-下应路     108.00    23048.77  23100.82 18450.17  4650.649902   0.23
   下应路-大洋江      98.90    15075.38  14889.92 15050.27  -160.350006  -1.23
    大洋江-泗港      89.80    12427.93  12572.01 10765.94  1806.069946   1.16
     泗港-曹隘     128.35    24510.02  24632.45 23717.56   914.890015   0.50
     曹隘-柳隘     104.35    23541.45  23522.89 15514.42  8008.479980  -0.08
   柳隘-海晏北路      86.45    16436.18  16337.31 16568.39  -231.080002  -0.60
 海晏北路-民安东路      81.40    17460.34  17450.78 14151.54  3299.250000  -0.05
 民安东路-会展中心      74.60    13130.46  13054.53 12409.61   644.919983  -0.58
  会展中心-院士路     112.40    15871.47  15897.90 19351.70 -3453.800049   0.17
   院士路-盎孟港      88.25    20534.08  20685.97 14389.87  6296.109863   0.74
   盎孟港-三官堂     128.60    17542.59  17359.80 21109.08 -3749.280029  -1.04
   三官堂-兴庄路      95.85    11417.94  11414.59  9969.16  1445.430054  -0.03
  兴庄路-兴海南路      86.70    16168.94  16325.11 14470.41  1854.699951   0.97
   兴海南路-梅堰      78.70    13264.47  13352.56 14371.74 -1019.179993   0.66
    梅堰-永茂路     315.85    28642.08  28594.15 28472.20   121.949997  -0.17
  永茂路-镇海大道     139.85    17800.63  17692.30 21391.71 -3699.419922  -0.61
  镇海大道-骆驼桥     114.50    20419.89  20444.07 18783.17  1660.900024   0.12

✅ 结果已保存至: full_line1_validation_results.csv

# finished: 2026-05-25T16:11:00
# return_code: 0
# elapsed_seconds: 510.4
