站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,24.9,117.55,12947.63,13943.57,13717.06,历史原始实测能耗,995.94,real,class3,class3,80,80,strong,energy_first,215.24
张家潭-同德路,class4,159.0,24.9,150.15,16531.83,17920.7,17849.64,历史原始实测能耗,1388.87,extrapolated_adjacent,class3,class3,0,54,generated,energy_first,215.24
同德路-石碶,class3,109.0,24.9,110.75,13094.43,12941.2,12559.34,历史原始实测能耗,-153.23,real,class3,class3,60,60,strong,energy_first,215.24
石碶-雅渡,class2,80.0,24.9,83.65,11015.21,13296.54,13139.97,历史原始实测能耗,2281.33,real,class2,class2,38,38,strong,energy_first,215.24
雅渡-庙堰,class4,139.0,24.9,130.05,18155.36,21366.44,20551.87,历史原始实测能耗,3211.08,real,class4,class4,10,10,strong,energy_first,215.34
庙堰-钟公庙,class4,101.0,24.9,94.95,10841.3,12998.15,12669.84,历史原始实测能耗,2156.85,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,215.44
钟公庙-鄞州区政府,class4,95.0,24.9,90.6,7956.11,10119.27,9996.86,历史原始实测能耗,2163.16,real,class4,class4,1,1,weak,energy_first,215.34
鄞州区政府-钱湖南路,class4,139.0,24.9,131.45,15215.58,16776.86,16453.78,历史原始实测能耗,1561.28,extrapolated_adjacent,class3,class3,0,62,generated,energy_first,215.54
钱湖南路-南高教园区,class4,105.0,24.9,100.1,11774.49,13823.46,13511.21,历史原始实测能耗,2048.97,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.54
南高教园区-下应路,class4,120.0,24.9,114.95,16566.96,18594.0,18334.23,历史原始实测能耗,2027.04,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.54
下应路-大洋江,class3,106.0,24.9,105.45,11259.42,11412.75,11124.65,历史原始实测能耗,153.33,real,class3,class3,65,65,strong,energy_first,215.84
大洋江-泗港,class4,96.0,24.9,93.1,9549.69,10707.05,10501.44,历史原始实测能耗,1157.36,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,215.94
泗港-曹隘,class4,137.0,24.9,134.05,22951.01,22613.5,22522.13,历史原始实测能耗,-337.51,real,class4,class4,82,82,strong,energy_first,215.84
曹隘-柳隘,class4,113.0,24.9,106.95,15975.51,20941.62,20709.07,历史原始实测能耗,4966.11,real,class4,class4,1,1,weak,energy_first,215.94
柳隘-海晏北路,class4,96.0,24.9,88.7,10286.54,14562.57,14636.59,历史原始实测能耗,4276.03,extrapolated_adjacent,class3,class3,0,35,generated,energy_first,216.04
海晏北路-民安东路,class4,89.0,24.9,83.85,12373.97,15744.23,15558.24,历史原始实测能耗,3370.26,extrapolated_adjacent,class3,class3,0,41,generated,energy_first,216.64
民安东路-会展中心,class4,83.0,24.9,77.15,6921.21,12445.58,12373.08,历史原始实测能耗,5524.37,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,216.94
会展中心-院士路,class4,121.0,24.9,114.3,13348.19,14918.02,14799.32,历史原始实测能耗,1569.83,extrapolated_adjacent,class3,class3,0,104,generated,energy_first,216.84
院士路-盎孟港,class4,96.0,24.9,89.45,14046.23,18266.8,18131.95,历史原始实测能耗,4220.57,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,216.24
盎孟港-三官堂,class4,146.0,24.9,138.7,16395.08,16547.62,15995.11,历史原始实测能耗,152.54,extrapolated_adjacent,class3,class3,0,52,generated,energy_first,215.94
三官堂-兴庄路,class4,109.0,24.9,105.0,9934.61,10594.89,10389.54,历史原始实测能耗,660.28,extrapolated_adjacent,class3,class3,0,58,generated,energy_first,215.54
兴庄路-兴海南路,class4,96.0,24.9,90.7,9408.42,12343.51,12157.55,历史原始实测能耗,2935.09,extrapolated_adjacent,class3,class3,0,72,generated,energy_first,215.24
兴海南路-梅堰,class4,86.0,24.9,81.8,9540.71,13199.04,13085.89,历史原始实测能耗,3658.33,extrapolated_adjacent,class3,class3,0,73,generated,energy_first,215.24
梅堰-永茂路,class4,329.0,24.9,329.1,26368.47,26194.01,26301.18,历史原始实测能耗,-174.46,real,class4,class4,26,26,strong,energy_first,215.34
永茂路-镇海大道,class4,156.0,24.9,141.75,15542.69,17806.25,17490.09,历史原始实测能耗,2263.56,real,class4,class4,1,1,weak,energy_first,215.34
镇海大道-骆驼桥,class4,128.0,0.0,116.5,17268.28,20571.82,20192.04,历史原始实测能耗,3303.54,real,class4,class4,1,1,weak,energy_first,215.24
--- 总计 ---,节能率: 13.49%,3149.0,622.4999999999999,3770.75,355268.93,410649.45,404751.67,历史原始实测能耗,55380.52,,,,,,,energy_first,
