trip_no,section,global_trip_id,source_run_id,absolute_start,absolute_end,trainset,run_time_s,real_energy_wh,model_energy_wh,mass_t,run_class,quality_label,period
57,布政-张家潭,UP057_20240710_070757_R3070,3070,2024-07-10 07:07:57,2024-07-10 07:09:55,5012,117.8,14472.38947626389,14671.23632629181,215.24,3,0,
57,张家潭-同德路,UP057_20240710_070757_R3070,3071,2024-07-10 07:10:24,2024-07-10 07:12:55,5012,150.6,18074.35770180556,17864.198493404292,215.34,3,0,
57,同德路-石碶,UP057_20240710_070757_R3070,3072,2024-07-10 07:13:24,2024-07-10 07:15:10,5012,105.6,14443.449117923614,14453.917338351703,215.34,2,0,
57,石碶-雅渡,UP057_20240710_070757_R3070,3073,2024-07-10 07:15:45,2024-07-10 07:17:03,5012,78.45,12328.163344673612,12087.601152421938,216.04,2,0,
57,雅渡-庙堰,UP057_20240710_070757_R3070,3074,2024-07-10 07:17:33,2024-07-10 07:19:45,5012,131.85,20681.869772736114,20663.39985256087,216.94,3,0,
57,庙堰-钟公庙,UP057_20240710_070757_R3070,3075,2024-07-10 07:20:14,2024-07-10 07:21:48,5012,94.6,16227.417467291665,16257.309290842517,217.72,3,0,
57,钟公庙-鄞州区政府,UP057_20240710_070757_R3070,3076,2024-07-10 07:22:19,2024-07-10 07:23:48,5012,89.1,13289.753195395833,13147.542954835719,219.4,3,0,
57,鄞州区政府-钱湖南路,UP057_20240710_070757_R3070,3077,2024-07-10 07:24:27,2024-07-10 07:26:36,5012,128.95,19537.245432312502,19741.515865865524,221.8,2,0,
57,钱湖南路-南高教园区,UP057_20240710_070757_R3070,3078,2024-07-10 07:27:05,2024-07-10 07:28:42,5012,96.6,16330.317274138888,17138.690241642227,222.5,2,0,
57,南高教园区-下应路,UP057_20240710_070757_R3070,3079,2024-07-10 07:29:16,2024-07-10 07:31:07,5012,110.65,20472.25426971528,21341.9199340673,222.9,2,0,
57,下应路-大洋江,UP057_20240710_070757_R3070,3080,2024-07-10 07:31:37,2024-07-10 07:33:18,5012,101.2,14456.655662993055,14428.986824242256,223.5,2,0,
57,大洋江-泗港,UP057_20240710_070757_R3070,3081,2024-07-10 07:33:47,2024-07-10 07:35:19,5012,91.95,12498.0735985,12441.528687140322,223.2,3,0,
57,泗港-曹隘,UP057_20240710_070757_R3070,3082,2024-07-10 07:35:48,2024-07-10 07:38:03,5012,134.75,23567.490935895832,24931.33228542439,222.9,4,0,
57,曹隘-柳隘,UP057_20240710_070757_R3070,3083,2024-07-10 07:38:33,2024-07-10 07:40:20,5012,106.55,21792.05221276389,18195.49138351505,224.6,2,0,
57,柳隘-海晏北路,UP057_20240710_070757_R3070,3084,2024-07-10 07:40:49,2024-07-10 07:42:18,5012,88.95,15247.836857868053,15630.44528538902,225.5,2,0,
57,海晏北路-民安东路,UP057_20240710_070757_R3070,3085,2024-07-10 07:43:03,2024-07-10 07:44:27,5012,83.3,15939.92730171528,15227.351988600363,225.9,2,0,
57,民安东路-会展中心,UP057_20240710_070757_R3070,3086,2024-07-10 07:44:57,2024-07-10 07:46:13,5012,76.75,13012.390032159723,12990.865527930211,223.6,2,0,
57,会展中心-院士路,UP057_20240710_070757_R3070,3087,2024-07-10 07:46:43,2024-07-10 07:48:38,5012,115.75,15630.332430576387,15162.53166747123,220.72,3,0,
57,院士路-盎孟港,UP057_20240710_070757_R3070,3088,2024-07-10 07:49:08,2024-07-10 07:50:38,5012,89.9,19524.482497048608,18632.154318461453,217.54,3,0,
57,盎孟港-三官堂,UP057_20240710_070757_R3070,3089,2024-07-10 07:51:08,2024-07-10 07:53:19,5012,130.45,18042.523264715277,18447.860364365053,216.94,2,0,
57,三官堂-兴庄路,UP057_20240710_070757_R3070,3090,2024-07-10 07:53:48,2024-07-10 07:55:27,5012,98.4,11644.096224652778,12507.06585439391,216.54,2,0,
57,兴庄路-兴海南路,UP057_20240710_070757_R3070,3091,2024-07-10 07:55:58,2024-07-10 07:57:26,5012,87.75,14609.570172159723,14272.145842135196,215.44,2,0,
57,兴海南路-梅堰,UP057_20240710_070757_R3070,3092,2024-07-10 07:57:53,2024-07-10 07:59:15,5012,81.7,13261.70663603472,13218.852820017268,215.54,3,0,
57,梅堰-永茂路,UP057_20240710_070757_R3070,3093,2024-07-10 07:59:45,2024-07-10 08:05:02,5012,317.45,28943.139140513886,30104.418033830123,215.54,3,0,
57,永茂路-镇海大道,UP057_20240710_070757_R3070,3094,2024-07-10 08:05:29,2024-07-10 08:07:52,5012,142.3,17202.33158457639,17852.773286234147,215.44,2,0,
57,镇海大道-骆驼桥,UP057_20240710_070757_R3070,3095,2024-07-10 08:08:19,2024-07-10 08:10:16,5012,116.6,20284.162803020834,19963.308785014106,215.34,2,0,
