站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,25.0,117.55,12906.3,14208.11,14118.17,历史原始实测能耗,1301.81,real,class3,class3,80,80,strong,energy_first,215.34
张家潭-同德路,class4,159.0,25.0,150.4,16531.83,17933.61,17878.86,历史原始实测能耗,1401.78,extrapolated_adjacent,class3,class3,0,54,generated,energy_first,215.24
同德路-石碶,class3,109.0,25.0,110.35,13094.43,12148.84,11926.44,历史原始实测能耗,-945.59,real,class3,class3,60,60,strong,energy_first,215.24
石碶-雅渡,class2,80.0,25.0,83.75,11046.12,13098.34,12982.27,历史原始实测能耗,2052.22,real,class2,class2,38,38,strong,energy_first,215.34
雅渡-庙堰,class4,139.0,25.0,132.05,18164.67,20638.43,19760.83,历史原始实测能耗,2473.76,real,class4,class4,10,10,strong,energy_first,215.44
庙堰-钟公庙,class4,101.0,25.0,95.45,10870.5,12912.19,12814.83,历史原始实测能耗,2041.69,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,215.64
钟公庙-鄞州区政府,class4,95.0,25.0,91.35,7971.63,10123.19,9963.91,历史原始实测能耗,2151.56,real,class4,class4,1,1,weak,energy_first,215.54
鄞州区政府-钱湖南路,class4,139.0,25.0,131.95,15251.4,16379.14,15835.26,历史原始实测能耗,1127.74,extrapolated_adjacent,class3,class3,0,62,generated,energy_first,215.74
钱湖南路-南高教园区,class4,105.0,25.0,100.4,11795.25,13661.4,13328.85,历史原始实测能耗,1866.15,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.74
南高教园区-下应路,class4,120.0,25.0,115.0,16605.29,18719.01,18448.17,历史原始实测能耗,2113.72,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.84
下应路-大洋江,class3,106.0,25.0,105.15,11247.34,11223.55,11060.62,历史原始实测能耗,-23.79,real,class3,class3,65,65,strong,energy_first,215.74
大洋江-泗港,class4,96.0,25.0,91.5,9521.53,10679.37,10439.7,历史原始实测能耗,1157.84,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,215.54
泗港-曹隘,class4,137.0,25.0,134.5,22914.62,23305.87,23071.46,历史原始实测能耗,391.25,real,class4,class4,82,82,strong,energy_first,215.54
曹隘-柳隘,class4,113.0,25.0,106.7,15939.04,20871.03,20714.23,历史原始实测能耗,4931.99,real,class4,class4,1,1,weak,energy_first,215.54
柳隘-海晏北路,class4,96.0,25.0,90.15,10264.51,14348.07,14440.56,历史原始实测能耗,4083.56,extrapolated_adjacent,class3,class3,0,35,generated,energy_first,215.74
海晏北路-民安东路,class4,89.0,25.0,83.35,12445.31,15734.55,15484.1,历史原始实测能耗,3289.24,extrapolated_adjacent,class3,class3,0,41,generated,energy_first,217.44
民安东路-会展中心,class4,83.0,25.0,76.75,6950.15,12259.46,12245.42,历史原始实测能耗,5309.31,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,217.34
会展中心-院士路,class4,121.0,25.0,114.6,13348.19,14992.71,14895.36,历史原始实测能耗,1644.52,extrapolated_adjacent,class3,class3,0,104,generated,energy_first,216.84
院士路-盎孟港,class4,96.0,25.0,89.75,14076.88,18676.97,18570.93,历史原始实测能耗,4600.09,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,216.44
盎孟港-三官堂,class4,146.0,25.0,138.2,16447.94,16344.69,15888.01,历史原始实测能耗,-103.25,extrapolated_adjacent,class3,class3,0,52,generated,energy_first,216.14
三官堂-兴庄路,class4,109.0,25.0,104.7,9988.79,10456.83,10252.96,历史原始实测能耗,468.04,extrapolated_adjacent,class3,class3,0,58,generated,energy_first,216.24
兴庄路-兴海南路,class4,96.0,25.0,91.1,9568.56,12283.34,12104.69,历史原始实测能耗,2714.78,extrapolated_adjacent,class3,class3,0,72,generated,energy_first,216.04
兴海南路-梅堰,class4,86.0,25.0,81.4,9665.08,12824.43,12783.58,历史原始实测能耗,3159.35,extrapolated_adjacent,class3,class3,0,73,generated,energy_first,215.94
梅堰-永茂路,class4,329.0,25.0,329.1,26368.47,26082.74,26281.94,历史原始实测能耗,-285.73,real,class4,class4,26,26,strong,energy_first,215.34
永茂路-镇海大道,class4,156.0,25.0,142.5,16083.81,18070.62,17602.68,历史原始实测能耗,1986.81,real,class4,class4,1,1,weak,energy_first,216.14
镇海大道-骆驼桥,class4,128.0,0.0,116.4,17321.84,20191.62,19923.13,历史原始实测能耗,2869.78,real,class4,class4,1,1,weak,energy_first,215.74
--- 总计 ---,节能率: 12.69%,3149.0,625.0,3774.1,356389.48,408168.11,402816.96,历史原始实测能耗,51778.63,,,,,,,energy_first,
