t_arrival,v_peak_opt,E_wh
90.0,12.819999999999833,6662.939014827982
89.95,12.839999999999833,6694.213204256568
89.9,12.859999999999832,6700.082476167684
89.85000000000001,12.879999999999832,6724.215813660685
89.75,12.899999999999832,6737.215224677691
89.7,12.919999999999831,6775.370363445726
89.65,12.93999999999983,6772.482647215102
89.60000000000001,12.95999999999983,6803.733479160104
89.5,12.97999999999983,6817.375230243119
89.45,12.99999999999983,6854.3110542381
89.4,13.019999999999829,6858.095623619891
89.35000000000001,13.039999999999829,6882.6432083856325
89.25,13.059999999999828,6899.497125595794
89.2,13.079999999999828,6941.5146959361755
89.15,13.099999999999827,6935.828203980292
89.10000000000001,13.119999999999827,6969.531292544087
89.05000000000001,13.139999999999826,6989.95360502324
88.95,13.159999999999826,7015.338308027896
88.9,13.179999999999826,7018.572544028512
88.85000000000001,13.199999999999825,7052.280834646753
88.80000000000001,13.219999999999825,7064.030341894176
88.75,13.239999999999824,7095.475519710281
88.7,13.259999999999824,7104.020717480598
88.60000000000001,13.279999999999824,7128.912605506931
88.55000000000001,13.299999999999823,7150.919023561875
88.5,13.319999999999823,7170.1376110096635
88.45,13.339999999999822,7185.734037886537
88.4,13.359999999999822,7220.520036062382
88.35000000000001,13.379999999999821,7233.652003473553
88.30000000000001,13.399999999999821,7265.363795963962
88.2,13.41999999999982,7274.723326576958
88.15,13.43999999999982,7312.366565589289
88.10000000000001,13.45999999999982,7327.425638096757
88.05000000000001,13.47999999999982,7353.368432833449
88.0,13.499999999999819,7367.385115495027
87.95,13.519999999999818,7402.700021495622
87.9,13.539999999999818,7412.191565627935
87.85000000000001,13.559999999999818,7455.007751020019
87.80000000000001,13.579999999999817,7448.364801724638
87.75,13.599999999999817,7489.0608777536145
87.65,13.619999999999816,7511.640413227042
87.60000000000001,13.639999999999816,7525.574497651996
87.55000000000001,13.659999999999815,7544.897384602652
87.5,13.679999999999815,7589.214924460441
87.45,13.699999999999815,7590.089815035006
87.4,13.719999999999814,7622.226820072106
87.35000000000001,13.739999999999814,7641.2506085200075
87.30000000000001,13.759999999999813,7677.694273942563
87.25,13.779999999999813,7696.914852038587
87.2,13.799999999999812,7725.005368040468
87.15,13.819999999999812,7731.324505606104
87.10000000000001,13.839999999999812,7761.629639480377
87.05000000000001,13.859999999999811,7784.7420719876045
87.0,13.87999999999981,7812.8791618293535
86.95,13.89999999999981,7827.819286139165
86.9,13.91999999999981,7855.925600511828
86.85000000000001,13.93999999999981,7875.840859930335
86.80000000000001,13.959999999999809,7916.3504816486975
86.75,13.979999999999809,7930.127742217559
86.7,13.999999999999808,7959.274193305667
86.65,14.019999999999808,7968.2015582843815
86.60000000000001,14.039999999999807,8005.907378730634
86.55000000000001,14.059999999999807,8030.632777907591
86.5,14.079999999999806,8064.839383852922
86.45,14.099999999999806,8068.203597623846
86.4,14.119999999999806,8114.411841863937
86.35000000000001,14.139999999999805,8121.2872966858085
86.30000000000001,14.159999999999805,8168.074704706787
86.30000000000001,14.179999999999804,8175.0545112106065
86.25,14.199999999999804,8213.241153703682
86.2,14.219999999999803,8231.623393840455
86.15,14.239999999999803,8262.176117850573
86.10000000000001,14.259999999999803,8280.48165826194
86.05000000000001,14.279999999999802,8327.951789165187
86.0,14.299999999999802,8336.993255086196
85.95,14.319999999999801,8376.449511874107
85.9,14.339999999999801,8389.221892099547
85.85000000000001,14.3599999999998,8422.121819906046
85.80000000000001,14.3799999999998,8444.784734378572
85.80000000000001,14.3999999999998,8490.920768019296
85.75,14.4199999999998,8494.054752063454
85.7,14.439999999999799,8528.030855250267
85.65,14.459999999999798,8548.23122632374
85.60000000000001,14.479999999999798,8575.961349760575
85.55000000000001,14.499999999999797,8598.833294436536
85.5,14.519999999999797,8630.186393657808
85.45,14.539999999999797,8646.533435575484
85.45,14.559999999999796,8674.55563145278
85.4,14.579999999999796,8707.666933202883
85.35000000000001,14.599999999999795,8730.142911774796
85.30000000000001,14.619999999999795,8744.139220608557
85.25,14.639999999999795,8775.869659526294
85.2,14.659999999999794,8799.690041169153
85.2,14.679999999999794,8832.456047456282
85.15,14.699999999999793,8843.737495829382
85.10000000000001,14.719999999999793,8878.233795673346
85.05000000000001,14.739999999999792,8890.091191090749
85.0,14.759999999999792,8931.854450174123
85.0,14.779999999999792,8940.100523532732
84.95,14.799999999999791,8979.287818771401
84.9,14.81999999999979,8987.575664659314
84.85000000000001,14.83999999999979,9030.62902588553
84.80000000000001,14.85999999999979,9040.423070074112
84.80000000000001,14.87999999999979,9082.943045693248
84.75,14.899999999999789,9100.180860676455
84.7,14.919999999999789,9127.47439917703
84.65,14.939999999999788,9140.028202800244
84.60000000000001,14.959999999999788,9179.532411707183
84.60000000000001,14.979999999999787,9193.950715620687
84.55000000000001,14.999999999999787,9223.976018589547
84.5,15.019999999999786,9230.996816401836
84.45,15.039999999999786,9274.989222301961
84.45,15.059999999999786,9275.634393699627
84.4,15.079999999999785,9319.742150533415
84.35000000000001,15.099999999999785,9326.775491870783
84.30000000000001,15.119999999999784,9364.439139962404
84.30000000000001,15.139999999999784,9385.854270894026
84.25,15.159999999999783,9411.863156650821
84.2,15.179999999999783,9430.20147875838
84.15,15.199999999999783,9470.756517190108
84.15,15.219999999999782,9481.056451033868
84.10000000000001,15.239999999999782,9521.862770044398
84.05000000000001,15.259999999999781,9524.904236000875
84.05000000000001,15.27999999999978,9564.131872634798
84.0,15.29999999999978,9574.237159594471
83.95,15.31999999999978,9606.98598357999
83.9,15.33999999999978,9616.949758565026
83.9,15.35999999999978,9653.159922979376
83.85000000000001,15.379999999999779,9662.997723907356
83.80000000000001,15.399999999999778,9693.433562896522
83.80000000000001,15.419999999999778,9707.796628858001
83.75,15.439999999999777,9736.161421708259
83.7,15.459999999999777,9748.861237640876
83.7,15.479999999999777,9773.562810263968
83.65,15.499999999999776,9790.16092828532
83.60000000000001,15.519999999999776,9820.065542020788
83.60000000000001,15.539999999999775,9836.366698254464
83.55000000000001,15.559999999999775,9855.944716099122
83.5,15.579999999999774,9875.546695248082
83.5,15.599999999999774,9901.516928788817
83.45,15.619999999999774,9910.767163036067
83.4,15.639999999999773,9943.638021367708
83.4,15.659999999999773,9949.982091721879
83.35000000000001,15.679999999999772,9984.806573812273
83.30000000000001,15.699999999999772,9990.193631734834
83.30000000000001,15.719999999999771,10031.516231422826
83.25,15.739999999999771,10025.976171813883
83.2,15.75999999999977,10064.456588513764
83.2,15.77999999999977,10067.873816955736
83.15,15.79999999999977,10098.935262134957
