Segment_ID,等级,时长
0,class2,86.7
1,class3,89.9
2,class3,89.15
3,class3,89.9
4,class2,86.55
5,class2,85.75
6,class2,88.95
7,class2,85.6
8,class2,86.35
9,class2,88.8
10,class3,89.65
11,class2,88.8
12,class2,86.8
13,class3,89.8
14,class2,85.85
15,class2,85.85
16,class2,86.2
17,class3,90.05
18,class3,89.2
19,class2,89.0
20,class2,85.75
21,class2,88.85
22,class2,88.8
23,class2,88.75
24,class2,87.0
25,class2,88.85
26,class2,85.75
27,class3,89.35
28,class3,89.3
29,class3,89.15
30,class3,90.2
31,class3,89.2
32,class3,90.2
33,class3,90.2
34,class1,83.7
