站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,92,91,07/2672691,72691,5012,UP,工作日平峰,0.0,118.15,118.15,30.0,148.15,1451.12,1428.0,44.22,65.36,44.2,2364,63.65,1125,64.19,64.99,14086.23,215.24,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,92,91,07/2672691,72691,5012,UP,工作日平峰,0.0,151.5,151.5,30.0,181.5,2054.4,2017.0,48.82,64.87,48.8,3031,63.72,1797,64.72,64.8,17000.67,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,92,91,07/2672691,72691,5012,UP,工作日平峰,0.0,110.4,110.4,30.0,140.4,1352.16,1332.0,44.09,68.8,44.07,2209,67.52,890,68.04,68.6,14074.35,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,92,91,07/2672691,72691,5012,UP,工作日平峰,0.0,79.2,79.2,30.0,109.2,839.81,827.0,38.17,72.94,38.15,1585,70.84,301,71.52,72.86,12235.89,215.54,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,92,91,07/2672691,72691,5012,UP,工作日平峰,0.0,137.15,137.15,30.0,167.15,1890.19,1860.0,49.61,71.67,49.6,2744,69.18,1373,69.96,71.06,19424.77,215.64,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,92,91,07/2672691,72691,5012,UP,工作日平峰,0.0,96.85,96.85,30.0,126.85,1103.92,1086.0,41.03,69.91,41.01,1938,66.53,590,66.75,69.53,12633.59,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,92,91,07/2672691,72691,5012,UP,工作日平峰,0.0,91.55,91.55,30.0,121.55,999.51,984.0,39.3,67.8,39.28,1832,65.07,542,65.19,67.62,9878.43,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,92,91,07/2672691,72691,5012,UP,工作日平峰,0.0,132.25,132.25,30.0,162.25,1840.11,1811.0,50.09,71.54,50.07,2646,70.79,1300,71.37,71.46,17578.28,215.94,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,92,91,07/2672691,72691,5012,UP,工作日平峰,0.0,101.25,101.25,30.0,131.25,1187.3,1155.0,42.22,66.24,42.19,2026,65.34,787,66.03,66.18,13064.35,216.14,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,92,91,07/2672691,72691,5012,UP,工作日平峰,0.0,116.7,116.7,30.0,146.7,1474.36,1452.0,45.48,69.42,45.46,2335,68.42,990,69.04,69.25,18464.82,215.82,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
