序号,区间,segment,来源run_id,绝对开始时间,绝对结束时间,趟次选择方式,数据读取来源,样本数,运行时间(s),区间里程(km),重量(t),历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%)
1,布政-张家潭,9,494,2024-07-02 09:48:40,2024-07-02 09:50:37,traceability-cache,cache,2352,117.55,1.428409583333331,215.24,13.943571187291667,13.901451754551013,-0.042119432740653794,-0.30207062577370375
2,张家潭-同德路,9,495,2024-07-02 09:51:07,2024-07-02 09:53:37,traceability-cache,cache,3004,150.15,2.021235416666662,215.24,17.920704951868057,17.222258141346483,-0.6984468105215746,-3.8974293276826053
3,同德路-石碶,9,496,2024-07-02 09:54:07,2024-07-02 09:55:58,traceability-cache,cache,2216,110.75,1.330515555555555,215.24,12.94120388415278,12.701395481032547,-0.23980840312023247,-1.8530610078239407
4,石碶-雅渡,9,497,2024-07-02 09:56:32,2024-07-02 09:57:56,traceability-cache,cache,1674,83.65,0.8274451388888868,215.24,13.296541783305557,13.295724642059255,-0.0008171412463016168,-0.006145517079693434
5,雅渡-庙堰,9,498,2024-07-02 09:58:25,2024-07-02 10:00:35,traceability-cache,cache,2602,130.05,1.8612454166666659,215.34,21.36644474522222,20.70779360215137,-0.6586511430708524,-3.0826426713697153
6,庙堰-钟公庙,9,499,2024-07-02 10:01:06,2024-07-02 10:02:41,traceability-cache,cache,1900,94.95,1.087059166666666,215.44,12.998149440208332,12.967109332917472,-0.031040107290858942,-0.2388040500199191
7,钟公庙-鄞州区政府,9,500,2024-07-02 10:03:11,2024-07-02 10:04:42,traceability-cache,cache,1813,90.6,0.9846941666666668,215.34,10.119267913694447,10.760426782413095,0.6411588687186486,6.336020295015272
8,鄞州区政府-钱湖南路,9,501,2024-07-02 10:05:22,2024-07-02 10:07:33,traceability-cache,cache,2630,131.45,1.8133248611111121,215.54,16.77685780288889,15.680218764350407,-1.0966390385384839,-6.5366175920597485
9,钱湖南路-南高教园区,9,502,2024-07-02 10:08:03,2024-07-02 10:09:43,traceability-cache,cache,2003,100.1,1.169206249999997,215.54,13.823461805222221,13.894699582758477,0.07123777753625654,0.5153396344564309
10,南高教园区-下应路,9,503,2024-07-02 10:10:18,2024-07-02 10:12:13,traceability-cache,cache,2300,114.95,1.452629722222222,215.54,18.59399597928472,17.669113545330273,-0.924882433954448,-4.974091825043121
11,下应路-大洋江,9,504,2024-07-02 10:12:43,2024-07-02 10:14:28,traceability-cache,cache,2110,105.45,1.214513888888888,215.84,11.41275427204861,11.004366957359288,-0.408387314689322,-3.578341432352733
12,大洋江-泗港,9,505,2024-07-02 10:14:57,2024-07-02 10:16:31,traceability-cache,cache,1863,93.1,0.9582573611111096,215.94,10.707051230215278,10.907041919754821,0.19999068953954338,1.8678409698383625
13,泗港-曹隘,9,506,2024-07-02 10:17:01,2024-07-02 10:19:15,traceability-cache,cache,2682,134.05,1.7984984722222221,215.84,22.613503511597226,22.928951910568202,0.3154483989709734,1.3949558891181861
14,曹隘-柳隘,9,507,2024-07-02 10:19:46,2024-07-02 10:21:33,traceability-cache,cache,2140,106.95,1.307608055555553,215.94,20.94162342873611,21.77981081696493,0.8381873882288164,4.002494797412196
15,柳隘-海晏北路,9,508,2024-07-02 10:22:02,2024-07-02 10:23:31,traceability-cache,cache,1775,88.7,0.9807855555555547,216.04,14.562568801888888,14.727768775927272,0.16519997403838352,1.1344150629314498
16,海晏北路-民安东路,9,509,2024-07-02 10:24:16,2024-07-02 10:25:40,traceability-cache,cache,1678,83.85,0.864970833333333,216.64,15.744230358909723,16.085283874295126,0.34105351538540346,2.1662126862390574
17,民安东路-会展中心,9,510,2024-07-02 10:26:09,2024-07-02 10:27:27,traceability-cache,cache,1544,77.15,0.7261373611111115,216.94,12.445579185791669,12.828060642811462,0.3824814570197941,3.073231476896222
18,会展中心-院士路,9,511,2024-07-02 10:28:01,2024-07-02 10:29:56,traceability-cache,cache,2287,114.3,1.5520172222222228,216.84,14.918022108215279,15.035763247551204,0.11774113933592525,0.7892543561192727
19,院士路-盎孟港,9,512,2024-07-02 10:30:26,2024-07-02 10:31:55,traceability-cache,cache,1790,89.45,0.9943681944444448,216.24,18.266796161861112,18.452459743543237,0.18566358168212538,1.0163992636528607
20,盎孟港-三官堂,9,513,2024-07-02 10:32:25,2024-07-02 10:34:43,traceability-cache,cache,2775,138.7,1.878719305555556,215.94,16.54762425260417,15.52654068850038,-1.0210835641037883,-6.170574993223552
21,三官堂-兴庄路,9,514,2024-07-02 10:35:18,2024-07-02 10:37:03,traceability-cache,cache,2101,105.0,1.0808483333333312,215.54,10.594894881472223,10.516342108242403,-0.07855277322981966,-0.7414209778257307
