Segment_ID,等级,时长
0,class2,114.5
1,class2,114.5
2,class2,114.6
3,class2,114.65
4,class2,114.4
5,class2,114.45
6,class2,114.6
7,class2,114.25
8,class2,114.35
9,class2,114.7
10,class2,114.45
11,class2,114.6
12,class2,114.3
13,class2,114.3
14,class2,114.4
15,class2,114.5
16,class2,115.05
17,class2,114.95
18,class2,115.0
19,class2,114.5
20,class2,114.45
21,class2,114.4
22,class2,114.45
23,class2,114.6
24,class2,114.5
25,class2,114.45
26,class2,114.5
27,class2,115.0
28,class2,115.0
29,class2,115.05
30,class2,115.1
31,class2,115.0
32,class2,115.05
33,class2,114.95
34,class2,115.0
