time_s,dist_m,velocity_mps,velocity_kmh
0.0,0.0,0.01785058086413367,0.06426209111088121
0.05,0.0023954229357733454,0.07796633656680013,0.2806788116404805
0.1,0.00761482966533182,0.13080993261553883,0.47091575741593983
0.15000000000000002,0.015314505820886153,0.17717711360663452,0.6378376089838843
0.2,0.025190524264461316,0.217863624136372,0.7843090468909393
0.25,0.03697874508789652,0.25366520880103605,0.9131947516837298
0.30000000000000004,0.050454815612845205,0.28537761219691143,1.0273594039088811
0.35000000000000003,0.06543417039077512,0.3137965789202849,1.1296676841130258
0.4,0.08173720648959945,0.33832486503268844,1.2179695141176785
0.45,0.09932350666262837,0.3651271418884685,1.3144577107984867
0.5,0.11822196343333324,0.390811128939726,1.4069200641830137
0.55,0.1383696012267862,0.41509438279839317,1.4943397780742154
0.6000000000000001,0.15969832732884304,0.43805466128388043,1.5769967806219696
0.65,0.18215069446754092,0.460040024264035,1.656144087350526
0.7000000000000001,0.20568354798216448,0.48127411632090733,1.7325868187552664
0.75,0.23026537922562554,0.5019991334175344,1.807196880303124
0.8,0.2558753555293679,0.5223999187321609,1.880639707435779
0.8500000000000001,0.282503268050274,0.542716582104082,1.9537796955746953
0.9,0.3101474358949984,0.5630501316848929,2.0269804740656148
0.9500000000000001,0.33881234471169097,0.5835462209828108,2.1007663955381193
1.0,0.3685065858279735,0.6042234236684918,2.1752043252065705
1.05,0.399239165056504,0.6250797454727269,2.250287083701817
1.1,0.43102050542348724,0.6461738692066034,2.326225929143772
1.1500000000000001,0.46386335038230436,0.667539929146082,2.403143744925895
1.2000000000000002,0.4977780344945966,0.6890474353456078,2.480570767244188
1.25,0.5327642099641726,0.7103995834374315,2.5574385003747535
1.3,0.5688151171529607,0.731636704114095,2.633892134810742
1.35,0.605928900341933,0.7529146234447956,2.7104926444012643
1.4000000000000001,0.6441063128887139,0.7741818784264367,2.7870547623351722
1.4500000000000002,0.6833471527392767,0.7954517155960743,2.8636261761458677
1.5,0.7236505043419857,0.816682348512288,2.940056454644237
1.55,0.7650148137966228,0.8378900296731956,3.0164041068235043
1.6,0.8074387305379553,0.8590666399801039,3.092639903928374
1.6500000000000001,0.850922180402214,0.8802713545902439,3.168976876524878
1.7000000000000002,0.895465528997045,0.9014625892029968,3.2452653211307885
1.75,0.9410684086962608,0.9226525987656371,3.321549355556294
1.8,0.9877357262103761,0.9440401017989704,3.3985443664762935
1.85,1.035480090441708,0.9657344674543081,3.4766440828355094
1.9000000000000001,1.084318347849671,0.987795828864211,3.5560649839111598
1.9500000000000002,1.1342672051109428,1.010158461586664,3.6365704617119903
2.0,1.1853403234044535,1.032766270153762,3.7179585725535436
2.0500000000000003,1.2375524085181848,1.0557171343954908,3.8005816838237667
2.1,1.2909229317499293,1.079103794874294,3.8847736615474586
2.15,1.3454753722290533,1.1029938242906696,3.970777767446411
2.2,1.4012328972583303,1.1273071768804082,4.0583058367694695
2.25,1.4582172209590927,1.1520657711500855,4.1474367761403075
2.3000000000000003,1.516453187023585,1.1773728714296,4.238542337146559
2.35,1.5759691330039927,1.2032649677867098,4.331753884032155
2.4000000000000004,1.6367935967131482,1.2297135805795074,4.4269688900862265
2.45,1.6989522300973636,1.2566317547891126,4.523874317240805
2.5,1.762469887772799,1.284074552228295,4.622668388021863
2.5500000000000003,1.827372637140323,1.3120354224726667,4.7233275209016
2.6,1.893684940320672,1.340456704741296,4.825644137068666
2.6500000000000004,1.961426007511404,1.3691859828879864,4.929069538396751
2.7,2.0306090540525417,1.398135878757513,5.033289163527047
2.75,2.1012466369315335,1.427367436402157,5.138522771047765
2.8000000000000003,2.1733525321707434,1.4568683731662433,5.244726143398476
2.85,2.246938701835664,1.4865784134305762,5.351682288350075
2.9000000000000004,2.322012534039561,1.5163748747252994,5.458949549011078
2.95,2.398576013889505,1.5461643192724663,5.566191549380879
3.0,2.4766296492203255,1.5759810939603522,5.673531938257268
3.0500000000000003,2.556174315263994,1.6058055477863895,5.780899972031002
3.1,2.6372069555710733,1.6355000644967839,5.887800232188422
3.1500000000000004,2.7197211687129537,1.6650684611784237,5.9942464602423255
3.2,2.803710559722252,1.6945071791935038,6.100225845096614
3.25,2.889168914427059,1.723827008998787,6.205777232395634
3.3000000000000003,2.9760913965050704,1.7530722741216602,6.3110601868379765
3.35,3.064476627288061,1.7823369571979677,6.416413045912684
3.4000000000000004,3.154325192782311,1.8116056625720325,6.5217803852593175
3.45,3.245637586453077,1.8408900842586173,6.627204303331022
3.5,3.3384152770078996,1.870217537934276,6.732783136563394
