t_local,v_ms,s_local
89.0,17.000000000000004,1528.1885405239875
89.05000000000001,16.974999999999998,1529.0372905239876
89.10000000000001,16.95,1529.8847905239877
89.15,16.925,1530.7310405239878
89.2,16.900000000000002,1531.5760405239878
89.25,16.875000000000004,1532.4197905239878
89.30000000000001,16.849999999999998,1533.2622905239878
89.35000000000001,16.825,1534.1035405239877
89.4,16.8,1534.9435405239876
89.45,16.775000000000002,1535.7822905239875
89.5,16.750000000000004,1536.6197905239876
89.55000000000001,16.724999999999998,1537.4560405239877
89.60000000000001,16.7,1538.2910405239877
89.65,16.675,1539.1247905239877
89.7,16.650000000000002,1539.9572905239877
89.75,16.625000000000004,1540.7885405239876
89.80000000000001,16.599999999999998,1541.6185405239876
89.85000000000001,16.575,1542.4472905239875
89.9,16.55,1543.2747905239876
89.95,16.525000000000002,1544.1010405239876
90.0,16.500000000000004,1544.9260405239877
90.05000000000001,16.474999999999998,1545.7497905239877
90.10000000000001,16.45,1546.5722905239877
90.15,16.425,1547.3935405239877
90.2,16.400000000000002,1548.2135405239876
90.25,16.375000000000004,1549.0322905239875
90.30000000000001,16.349999999999998,1549.8497905239876
90.35000000000001,16.325,1550.6660405239877
90.4,16.3,1551.4810405239878
90.45,16.275000000000002,1552.2947905239878
90.5,16.250000000000004,1553.1072905239878
90.55000000000001,16.224999999999998,1553.9185405239878
90.60000000000001,16.2,1554.7285405239877
90.65,16.175,1555.5372905239876
90.7,16.150000000000002,1556.3447905239875
90.75,16.125000000000004,1557.1510405239876
90.80000000000001,16.099999999999998,1557.9560405239877
90.85000000000001,16.075,1558.7597905239877
90.9,16.05,1559.5622905239877
90.95,16.025000000000002,1560.3635405239877
91.0,16.000000000000004,1561.1635405239876
91.05000000000001,15.974999999999998,1561.9622905239876
91.10000000000001,15.95,1562.7597905239875
91.15,15.925,1563.5560405239876
91.2,15.900000000000002,1564.3510405239876
91.25,15.875000000000004,1565.1447905239877
91.30000000000001,15.849999999999998,1565.9372905239877
91.35000000000001,15.825,1566.7285405239877
91.4,15.8,1567.5185405239877
91.45,15.775000000000002,1568.3072905239876
91.5,15.750000000000004,1569.0947905239875
91.55000000000001,15.724999999999998,1569.8810405239876
91.60000000000001,15.7,1570.6660405239877
91.65,15.675,1571.4497905239878
91.7,15.650000000000002,1572.2322905239878
91.75,15.625000000000004,1573.0135405239878
91.80000000000001,15.599999999999998,1573.7935405239878
91.85000000000001,15.575,1574.5722905239877
91.9,15.55,1575.3497905239876
91.95,15.525000000000002,1576.1260405239875
92.0,15.500000000000004,1576.9010405239876
92.05000000000001,15.474999999999998,1577.6747905239877
92.10000000000001,15.45,1578.4472905239877
92.15,15.425,1579.2185405239877
92.2,15.400000000000002,1579.9885405239877
92.25,15.375000000000004,1580.7572905239876
92.30000000000001,15.349999999999998,1581.5247905239876
92.35000000000001,15.325,1582.2910405239875
92.4,15.3,1583.0560405239876
92.45,15.275000000000002,1583.8197905239876
92.5,15.250000000000004,1584.5822905239877
92.55000000000001,15.224999999999998,1585.3435405239877
92.60000000000001,15.2,1586.1035405239877
92.65,15.175,1586.8622905239877
92.7,15.150000000000002,1587.6197905239876
92.75,15.125000000000004,1588.3760405239875
92.80000000000001,15.099999999999998,1589.1310405239876
92.85000000000001,15.075,1589.8847905239877
92.9,15.05,1590.6372905239878
92.95,15.025000000000002,1591.3885405239878
93.0,15.000000000000004,1592.1385405239878
93.05000000000001,14.974999999999998,1592.8872905239878
93.10000000000001,14.95,1593.6347905239877
93.15,14.925,1594.3810405239876
93.2,14.900000000000002,1595.1260405239875
93.25,14.875000000000004,1595.8697905239876
93.30000000000001,14.849999999999998,1596.6122905239877
93.35000000000001,14.825,1597.3535405239877
93.4,14.8,1598.0935405239877
93.45,14.775000000000002,1598.8322905239877
93.5,14.750000000000004,1599.5697905239876
93.55000000000001,14.724999999999998,1600.3060405239876
93.60000000000001,14.7,1601.0410405239875
93.65,14.675,1601.7747905239876
93.7,14.650000000000002,1602.5072905239876
93.75,14.625000000000004,1603.2385405239877
93.80000000000001,14.599999999999998,1603.9685405239877
93.85000000000001,14.575,1604.6972905239877
93.9,14.55,1605.4247905239877
93.95,14.525000000000002,1606.1510405239876
94.0,14.500000000000004,1606.8760405239875
94.05000000000001,14.474999999999998,1607.5997905239876
94.10000000000001,14.45,1608.3222905239877
94.15,14.425,1609.0435405239878
94.2,14.400000000000002,1609.7635405239878
94.25,14.375000000000004,1610.4822905239878
94.30000000000001,14.349999999999998,1611.1997905239878
94.35000000000001,14.325,1611.9160405239877
94.4,14.3,1612.6310405239876
94.45,14.275000000000002,1613.3447905239875
94.5,14.250000000000004,1614.0572905239876
94.55000000000001,14.224999999999998,1614.7685405239877
94.60000000000001,14.2,1615.4785405239877
94.65,14.175,1616.1872905239877
94.7,14.150000000000002,1616.8947905239877
94.75,14.125000000000004,1617.6010405239876
94.80000000000001,14.099999999999998,1618.3060405239876
94.85000000000001,14.075,1619.0097905239875
94.9,14.05,1619.7122905239876
94.95,14.025000000000002,1620.4135405239876
95.0,14.000000000000004,1621.1135405239877
95.05000000000001,13.974999999999998,1621.8122905239877
95.10000000000001,13.95,1622.5097905239877
95.15,13.925,1623.2060405239877
95.2,13.900000000000002,1623.9010405239876
95.25,13.875000000000004,1624.5947905239875
95.30000000000001,13.849999999999998,1625.2872905239876
95.35000000000001,13.825,1625.9785405239877
95.4,13.8,1626.6685405239878
95.45,13.775000000000002,1627.3572905239878
95.5,13.750000000000004,1628.0447905239878
95.55000000000001,13.724999999999998,1628.7310405239878
95.60000000000001,13.7,1629.4160405239877
95.65,13.675,1630.0997905239876
95.7,13.650000000000002,1630.7822905239875
95.75,13.625000000000004,1631.4635405239876
95.80000000000001,13.599999999999998,1632.1435405239877
95.85000000000001,13.575,1632.8222905239877
95.9,13.55,1633.4997905239877
95.95,13.525000000000002,1634.1760405239877
96.0,13.500000000000004,1634.8510405239876
96.05000000000001,13.474999999999998,1635.5247905239876
96.10000000000001,13.45,1636.1972905239875
96.15,13.425,1636.8685405239876
96.2,13.400000000000002,1637.5385405239876
96.25,13.375000000000004,1638.2072905239877
96.30000000000001,13.349999999999998,1638.8747905239877
96.35000000000001,13.325,1639.5410405239877
96.4,13.3,1640.2060405239877
96.45,13.275000000000002,1640.8697905239876
96.5,13.250000000000004,1641.5322905239875
