station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.24,UP042_20240708_073251_R2252,41,2252,traceability
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.94,UP042_20240708_073251_R2252,41,2253,traceability
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,216.42,UP042_20240708_073251_R2252,41,2254,traceability
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,220.6,UP042_20240708_073251_R2252,41,2255,traceability
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,222.3,UP042_20240708_073251_R2252,41,2256,traceability
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,225.9,UP042_20240708_073251_R2252,41,2257,traceability
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,228.2,UP042_20240708_073251_R2252,41,2258,traceability
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,231.4,UP042_20240708_073251_R2252,41,2259,traceability
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,233.6,UP042_20240708_073251_R2252,41,2260,traceability
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,236.7,UP042_20240708_073251_R2252,41,2261,traceability
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,238.6,UP042_20240708_073251_R2252,41,2262,traceability
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,238.5,UP042_20240708_073251_R2252,41,2263,traceability
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,238.9,UP042_20240708_073251_R2252,41,2264,traceability
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,243.1,UP042_20240708_073251_R2252,41,2265,traceability
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,244.9,UP042_20240708_073251_R2252,41,2266,traceability
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,247.7,UP042_20240708_073251_R2252,41,2267,traceability
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,240.1,UP042_20240708_073251_R2252,40,2268,traceability
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,232.2,UP042_20240708_073251_R2252,40,2269,traceability
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,225.2,UP042_20240708_073251_R2252,40,2270,traceability
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,219.02,UP042_20240708_073251_R2252,40,2271,traceability
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,216.94,UP042_20240708_073251_R2252,40,2272,traceability
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,216.04,UP042_20240708_073251_R2252,40,2273,traceability
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,215.64,UP042_20240708_073251_R2252,40,2274,traceability
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,215.64,UP042_20240708_073251_R2252,32,2275,traceability
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,215.64,UP042_20240708_073251_R2252,40,2276,traceability
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,215.54,UP042_20240708_073251_R2252,40,2277,traceability
