station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.24,UP040_20240706_192930_R2142,39,2142,traceability
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.24,UP040_20240706_192930_R2142,39,2143,traceability
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,215.24,UP040_20240706_192930_R2142,39,2144,traceability
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,215.34,UP040_20240706_192930_R2142,39,2145,traceability
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,215.54,UP040_20240706_192930_R2142,39,2146,traceability
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,215.64,UP040_20240706_192930_R2142,39,2147,traceability
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,215.34,UP040_20240706_192930_R2142,39,2148,traceability
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,215.84,UP040_20240706_192930_R2142,39,2149,traceability
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,215.64,UP040_20240706_192930_R2142,39,2150,traceability
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,215.64,UP040_20240706_192930_R2142,39,2151,traceability
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,215.94,UP040_20240706_192930_R2142,39,2152,traceability
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,215.74,UP040_20240706_192930_R2142,39,2153,traceability
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,215.54,UP040_20240706_192930_R2142,39,2154,traceability
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,215.54,UP040_20240706_192930_R2142,39,2155,traceability
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,215.74,UP040_20240706_192930_R2142,39,2156,traceability
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,217.52,UP040_20240706_192930_R2142,39,2157,traceability
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,217.72,UP040_20240706_192930_R2142,39,2158,traceability
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,217.44,UP040_20240706_192930_R2142,39,2159,traceability
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,216.84,UP040_20240706_192930_R2142,39,2160,traceability
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,216.34,UP040_20240706_192930_R2142,39,2161,traceability
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,217.12,UP040_20240706_192930_R2142,39,2162,traceability
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,217.02,UP040_20240706_192930_R2142,39,2163,traceability
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,216.62,UP040_20240706_192930_R2142,39,2164,traceability
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,216.22,UP040_20240706_192930_R2142,31,2165,traceability
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,216.12,UP040_20240706_192930_R2142,39,2166,traceability
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,215.54,UP040_20240706_192930_R2142,39,2167,traceability
