station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.24,UP066_20240715_171505_R3551,65,3551,traceability
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.34,UP066_20240715_171505_R3551,65,3552,traceability
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,215.34,UP066_20240715_171505_R3551,65,3553,traceability
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,215.74,UP066_20240715_171505_R3551,65,3554,traceability
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,216.34,UP066_20240715_171505_R3551,65,3555,traceability
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,216.44,UP066_20240715_171505_R3551,65,3556,traceability
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,217.42,UP066_20240715_171505_R3551,65,3557,traceability
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,219.32,UP066_20240715_171505_R3551,65,3558,traceability
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,219.4,UP066_20240715_171505_R3551,65,3559,traceability
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,219.5,UP066_20240715_171505_R3551,65,3560,traceability
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,219.32,UP066_20240715_171505_R3551,65,3561,traceability
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,221.1,UP066_20240715_171505_R3551,65,3562,traceability
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,223.6,UP066_20240715_171505_R3551,65,3563,traceability
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,223.5,UP066_20240715_171505_R3551,65,3564,traceability
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,224.4,UP066_20240715_171505_R3551,65,3565,traceability
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,226.7,UP066_20240715_171505_R3551,65,3566,traceability
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,230.6,UP066_20240715_171505_R3551,64,3567,traceability
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,231.2,UP066_20240715_171505_R3551,64,3568,traceability
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,230.0,UP066_20240715_171505_R3551,64,3569,traceability
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,229.4,UP066_20240715_171505_R3551,64,3570,traceability
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,223.91,UP066_20240715_171505_R3551,64,3571,traceability
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,218.7,UP066_20240715_171505_R3551,64,3572,traceability
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,217.32,UP066_20240715_171505_R3551,64,3573,traceability
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,217.12,UP066_20240715_171505_R3551,50,3574,traceability
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,216.52,UP066_20240715_171505_R3551,64,3575,traceability
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,215.74,UP066_20240715_171505_R3551,64,3576,traceability
