station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.24,UP006_20240701_171011_R274,5,274,traceability
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.24,UP006_20240701_171011_R274,5,275,traceability
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,215.24,UP006_20240701_171011_R274,5,276,traceability
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,216.44,UP006_20240701_171011_R274,5,277,traceability
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,216.74,UP006_20240701_171011_R274,5,278,traceability
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,216.74,UP006_20240701_171011_R274,5,279,traceability
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,217.14,UP006_20240701_171011_R274,5,280,traceability
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,220.12,UP006_20240701_171011_R274,5,281,traceability
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,220.72,UP006_20240701_171011_R274,5,282,traceability
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,220.9,UP006_20240701_171011_R274,5,283,traceability
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,220.6,UP006_20240701_171011_R274,5,284,traceability
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,220.5,UP006_20240701_171011_R274,5,285,traceability
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,222.4,UP006_20240701_171011_R274,5,286,traceability
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,222.2,UP006_20240701_171011_R274,5,287,traceability
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,222.9,UP006_20240701_171011_R274,5,288,traceability
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,225.2,UP006_20240701_171011_R274,5,289,traceability
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,230.0,UP006_20240701_171011_R274,5,290,traceability
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,230.7,UP006_20240701_171011_R274,5,291,traceability
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,230.3,UP006_20240701_171011_R274,5,292,traceability
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,229.2,UP006_20240701_171011_R274,5,293,traceability
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,223.7,UP006_20240701_171011_R274,5,294,traceability
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,218.2,UP006_20240701_171011_R274,5,295,traceability
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,216.72,UP006_20240701_171011_R274,5,296,traceability
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,216.92,UP006_20240701_171011_R274,4,297,traceability
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,216.42,UP006_20240701_171011_R274,5,298,traceability
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,215.84,UP006_20240701_171011_R274,5,299,traceability
