station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.34,UP062_20240715_081635_R3332,61,3332,traceability
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.64,UP062_20240715_081635_R3332,61,3333,traceability
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,217.72,UP062_20240715_081635_R3332,61,3334,traceability
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,224.8,UP062_20240715_081635_R3332,61,3335,traceability
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,227.9,UP062_20240715_081635_R3332,61,3336,traceability
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,229.5,UP062_20240715_081635_R3332,61,3337,traceability
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,231.1,UP062_20240715_081635_R3332,61,3338,traceability
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,224.5,UP062_20240715_081635_R3332,61,3339,traceability
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,223.6,UP062_20240715_081635_R3332,61,3340,traceability
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,225.1,UP062_20240715_081635_R3332,61,3341,traceability
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,226.59,UP062_20240715_081635_R3332,61,3342,traceability
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,225.4,UP062_20240715_081635_R3332,61,3343,traceability
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,224.8,UP062_20240715_081635_R3332,61,3344,traceability
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,228.3,UP062_20240715_081635_R3332,61,3345,traceability
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,229.5,UP062_20240715_081635_R3332,61,3346,traceability
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,231.7,UP062_20240715_081635_R3332,61,3347,traceability
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,222.83,UP062_20240715_081635_R3332,60,3348,traceability
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,219.42,UP062_20240715_081635_R3332,60,3349,traceability
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,217.42,UP062_20240715_081635_R3332,60,3350,traceability
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,216.14,UP062_20240715_081635_R3332,60,3351,traceability
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,215.64,UP062_20240715_081635_R3332,60,3352,traceability
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,215.44,UP062_20240715_081635_R3332,60,3353,traceability
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,215.44,UP062_20240715_081635_R3332,60,3354,traceability
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,215.44,UP062_20240715_081635_R3332,48,3355,traceability
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,215.34,UP062_20240715_081635_R3332,60,3356,traceability
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,215.44,UP062_20240715_081635_R3332,60,3357,traceability
