station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.24,UP050_20240709_083231_R2671,49,2671,traceability
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.82,UP050_20240709_083231_R2671,49,2672,traceability
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,216.62,UP050_20240709_083231_R2671,49,2673,traceability
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,222.3,UP050_20240709_083231_R2671,49,2674,traceability
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,224.3,UP050_20240709_083231_R2671,49,2675,traceability
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,226.0,UP050_20240709_083231_R2671,49,2676,traceability
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,228.1,UP050_20240709_083231_R2671,49,2677,traceability
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,222.1,UP050_20240709_083231_R2671,49,2678,traceability
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,220.8,UP050_20240709_083231_R2671,49,2679,traceability
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,221.5,UP050_20240709_083231_R2671,49,2680,traceability
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,222.1,UP050_20240709_083231_R2671,49,2681,traceability
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,221.3,UP050_20240709_083231_R2671,49,2682,traceability
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,220.22,UP050_20240709_083231_R2671,49,2683,traceability
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,220.7,UP050_20240709_083231_R2671,49,2684,traceability
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,221.5,UP050_20240709_083231_R2671,49,2685,traceability
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,223.5,UP050_20240709_083231_R2671,49,2686,traceability
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,222.6,UP050_20240709_083231_R2671,48,2687,traceability
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,220.12,UP050_20240709_083231_R2671,48,2688,traceability
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,218.02,UP050_20240709_083231_R2671,48,2689,traceability
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,216.32,UP050_20240709_083231_R2671,48,2690,traceability
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,215.94,UP050_20240709_083231_R2671,48,2691,traceability
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,215.84,UP050_20240709_083231_R2671,48,2692,traceability
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,215.74,UP050_20240709_083231_R2671,48,2693,traceability
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,215.74,UP050_20240709_083231_R2671,38,2694,traceability
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,215.74,UP050_20240709_083231_R2671,48,2695,traceability
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,215.64,UP050_20240709_083231_R2671,48,2696,traceability
