station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.24,UP021_20240703_172946_R1077,20,1077,traceability
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.24,UP021_20240703_172946_R1077,20,1078,traceability
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,215.74,UP021_20240703_172946_R1077,20,1079,traceability
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,216.64,UP021_20240703_172946_R1077,20,1080,traceability
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,216.94,UP021_20240703_172946_R1077,20,1081,traceability
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,217.34,UP021_20240703_172946_R1077,20,1082,traceability
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,219.62,UP021_20240703_172946_R1077,20,1083,traceability
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,225.2,UP021_20240703_172946_R1077,20,1084,traceability
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,225.5,UP021_20240703_172946_R1077,20,1085,traceability
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,224.0,UP021_20240703_172946_R1077,20,1086,traceability
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,223.7,UP021_20240703_172946_R1077,20,1087,traceability
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,224.0,UP021_20240703_172946_R1077,20,1088,traceability
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,225.4,UP021_20240703_172946_R1077,20,1089,traceability
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,225.2,UP021_20240703_172946_R1077,20,1090,traceability
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,225.3,UP021_20240703_172946_R1077,20,1091,traceability
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,227.9,UP021_20240703_172946_R1077,20,1092,traceability
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,230.7,UP021_20240703_172946_R1077,20,1093,traceability
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,230.0,UP021_20240703_172946_R1077,20,1094,traceability
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,228.1,UP021_20240703_172946_R1077,20,1095,traceability
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,227.4,UP021_20240703_172946_R1077,20,1096,traceability
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,223.31,UP021_20240703_172946_R1077,20,1097,traceability
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,219.22,UP021_20240703_172946_R1077,20,1098,traceability
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,217.72,UP021_20240703_172946_R1077,20,1099,traceability
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,217.72,UP021_20240703_172946_R1077,15,1100,traceability
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,217.52,UP021_20240703_172946_R1077,20,1101,traceability
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,216.24,UP021_20240703_172946_R1077,20,1102,traceability
