station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.34,UP067_20240716_074738_R3654,66,3654,traceability
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.84,UP067_20240716_074738_R3654,66,3655,traceability
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,216.72,UP067_20240716_074738_R3654,66,3656,traceability
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,224.8,UP067_20240716_074738_R3654,66,3657,traceability
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,229.2,UP067_20240716_074738_R3654,66,3658,traceability
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,232.0,UP067_20240716_074738_R3654,66,3659,traceability
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,234.1,UP067_20240716_074738_R3654,66,3660,traceability
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,235.5,UP067_20240716_074738_R3654,66,3661,traceability
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,237.5,UP067_20240716_074738_R3654,66,3662,traceability
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,240.7,UP067_20240716_074738_R3654,66,3663,traceability
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,241.5,UP067_20240716_074738_R3654,66,3664,traceability
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,239.4,UP067_20240716_074738_R3654,66,3665,traceability
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,238.2,UP067_20240716_074738_R3654,67,3666,traceability
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,242.1,UP067_20240716_074738_R3654,67,3667,traceability
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,243.8,UP067_20240716_074738_R3654,67,3668,traceability
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,249.6,UP067_20240716_074738_R3654,67,3669,traceability
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,237.61,UP067_20240716_074738_R3654,66,3670,traceability
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,230.0,UP067_20240716_074738_R3654,66,3671,traceability
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,222.91,UP067_20240716_074738_R3654,66,3672,traceability
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,217.82,UP067_20240716_074738_R3654,66,3673,traceability
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,215.94,UP067_20240716_074738_R3654,66,3674,traceability
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,215.45,UP067_20240716_074738_R3654,66,3675,traceability
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,215.44,UP067_20240716_074738_R3654,66,3676,traceability
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,215.44,UP067_20240716_074738_R3654,52,3677,traceability
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,215.34,UP067_20240716_074738_R3654,66,3678,traceability
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,215.24,UP067_20240716_074738_R3654,66,3679,traceability
