t_local,v_ms,s_local
95.45,15.275000000000002,1654.7683522727355
95.5,15.250000000000004,1655.5308522727355
95.55000000000001,15.224999999999998,1656.2921022727355
95.60000000000001,15.2,1657.0521022727355
95.65,15.175,1657.8108522727355
95.7,15.150000000000002,1658.5683522727354
95.75,15.125000000000004,1659.3246022727353
95.80000000000001,15.099999999999998,1660.0796022727354
95.85000000000001,15.075,1660.8333522727355
95.9,15.05,1661.5858522727356
95.95,15.025000000000002,1662.3371022727356
96.0,15.000000000000004,1663.0871022727356
96.05000000000001,14.974999999999998,1663.8358522727356
96.10000000000001,14.95,1664.5833522727355
96.15,14.925,1665.3296022727354
96.2,14.900000000000002,1666.0746022727353
96.25,14.875000000000004,1666.8183522727354
96.30000000000001,14.849999999999998,1667.5608522727355
96.35000000000001,14.825,1668.3021022727355
96.4,14.8,1669.0421022727355
96.45,14.775000000000002,1669.7808522727355
96.5,14.750000000000004,1670.5183522727355
96.55000000000001,14.724999999999998,1671.2546022727354
96.60000000000001,14.7,1671.9896022727353
96.65,14.675,1672.7233522727354
96.7,14.650000000000002,1673.4558522727355
96.75,14.625000000000004,1674.1871022727355
96.80000000000001,14.599999999999998,1674.9171022727355
96.85000000000001,14.575,1675.6458522727355
96.9,14.55,1676.3733522727355
96.95,14.525000000000002,1677.0996022727354
97.0,14.500000000000004,1677.8246022727353
97.05000000000001,14.474999999999998,1678.5483522727354
97.10000000000001,14.45,1679.2708522727355
97.15,14.425,1679.9921022727356
97.2,14.400000000000002,1680.7121022727356
97.25,14.375000000000004,1681.4308522727356
97.30000000000001,14.349999999999998,1682.1483522727356
97.35000000000001,14.325,1682.8646022727355
97.4,14.3,1683.5796022727354
97.45,14.275000000000002,1684.2933522727353
97.5,14.250000000000004,1685.0058522727354
97.55000000000001,14.224999999999998,1685.7171022727355
97.60000000000001,14.2,1686.4271022727355
97.65,14.175,1687.1358522727355
97.7,14.150000000000002,1687.8433522727355
97.75,14.125000000000004,1688.5496022727355
97.80000000000001,14.099999999999998,1689.2546022727354
97.85000000000001,14.075,1689.9583522727353
97.9,14.05,1690.6608522727354
97.95,14.025000000000002,1691.3621022727355
98.0,14.000000000000004,1692.0621022727355
98.05000000000001,13.974999999999998,1692.7608522727355
98.10000000000001,13.95,1693.4583522727355
98.15,13.925,1694.1546022727355
98.2,13.900000000000002,1694.8496022727354
98.25,13.875000000000004,1695.5433522727353
98.30000000000001,13.849999999999998,1696.2358522727354
98.35000000000001,13.825,1696.9271022727355
98.4,13.8,1697.6171022727356
98.45,13.775000000000002,1698.3058522727356
98.5,13.750000000000004,1698.9933522727356
98.55000000000001,13.724999999999998,1699.6796022727356
98.60000000000001,13.7,1700.3646022727355
98.65,13.675,1701.0483522727354
98.7,13.650000000000002,1701.7308522727353
98.75,13.625000000000004,1702.4121022727354
98.80000000000001,13.599999999999998,1703.0921022727355
98.85000000000001,13.575,1703.7708522727355
98.9,13.55,1704.4483522727355
98.95,13.525000000000002,1705.1246022727355
99.0,13.500000000000004,1705.7996022727355
99.05000000000001,13.474999999999998,1706.4733522727354
99.10000000000001,13.45,1707.1458522727353
99.15,13.425,1707.8171022727354
99.2,13.400000000000002,1708.4871022727355
99.25,13.375000000000004,1709.1558522727355
99.30000000000001,13.349999999999998,1709.8233522727355
99.35000000000001,13.325,1710.4896022727355
99.4,13.3,1711.1546022727355
99.45,13.275000000000002,1711.8183522727354
99.5,13.250000000000004,1712.4808522727353
99.55000000000001,13.224999999999998,1713.1421022727354
99.60000000000001,13.2,1713.8021022727355
99.65,13.175,1714.4608522727356
99.7,13.150000000000002,1715.1183522727356
99.75,13.125000000000004,1715.7746022727356
99.80000000000001,13.099999999999998,1716.4296022727356
99.85000000000001,13.075,1717.0833522727355
99.9,13.05,1717.7358522727354
99.95,13.025000000000002,1718.3871022727353
100.0,13.000000000000004,1719.0371022727354
100.05000000000001,12.974999999999998,1719.6858522727355
