run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850706|50706|5012|UP,103.05,1232.9055,215.94,2062
07/0850708|50708|5012|UP,106.25,1232.7397,215.84,2126
07/0850710|50710|5012|UP,102.85,1232.5842,216.14,2058
07/0951906|51906|5012|UP,103.0,1233.0724,216.14,2061
07/0951908|51908|5012|UP,103.85,1232.7039,216.34,2078
07/0951910|51910|5012|UP,103.9,1233.1388,215.54,2079
07/0951914|51914|5012|UP,104.05,1232.8318,216.74,2082
07/1053004|53004|5012|UP,104.15,1233.1053,216.14,2084
07/1251002|51002|5012|UP,100.85,1232.7866,216.82,2018
07/1251006|51006|5012|UP,102.95,1232.9791,215.64,2060
07/1251008|51008|5012|UP,103.25,1232.9503,216.24,2066
07/1251014|51014|5012|UP,103.95,1232.8441,216.64,2080
07/1251510|51510|5012|UP,102.95,1233.2028,216.24,2060
