section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
同德路-石碶,0,2220,110.95,1329.98,14539.57,14299.28,-1.653,3,0,70100,07/0170100,results_同德路-石碶.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶\triple_axis_mlp\seg_0_07_0170100.jpg
同德路-石碶,1,2091,104.5,1330.446,15511.008,15544.608,0.217,2,0,70101,07/0170101,results_同德路-石碶.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶\triple_axis_mlp\seg_1_07_0170101.jpg
同德路-石碶,2,2242,112.05,1330.844,13071.499,13170.462,0.757,4,0,70102,07/0170102,results_同德路-石碶.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶\triple_axis_mlp\seg_2_07_0170102.jpg
同德路-石碶,3,2208,110.35,1330.307,12148.842,12232.999,0.693,3,0,70103,07/0170103,results_同德路-石碶.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶\triple_axis_mlp\seg_3_07_0170103.jpg
同德路-石碶,4,2211,110.5,1330.464,11767.723,11857.606,0.764,3,0,70104,07/0170104,results_同德路-石碶.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶\triple_axis_mlp\seg_4_07_0170104.jpg
同德路-石碶,5,2106,105.25,1331.132,15224.392,15135.499,-0.584,2,0,70105,07/0170105,results_同德路-石碶.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶\triple_axis_mlp\seg_5_07_0170105.jpg
同德路-石碶,6,2190,109.45,1330.812,12635.22,12610.17,-0.198,3,0,70106,07/0170106,results_同德路-石碶.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶\triple_axis_mlp\seg_6_07_0170106.jpg
同德路-石碶,7,2227,111.3,1330.327,11880.661,12040.416,1.345,3,1,70107,07/0170107,results_同德路-石碶.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶\triple_axis_mlp\seg_7_07_0170107.jpg
同德路-石碶,8,2121,106.0,1330.271,16425.236,16237.552,-1.143,2,0,70208,07/0270208,results_同德路-石碶.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶\triple_axis_mlp\seg_8_07_0270208.jpg
同德路-石碶,9,2216,110.75,1330.516,12941.204,12841.078,-0.774,3,0,70209,07/0270209,results_同德路-石碶.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\同德路-石碶\triple_axis_mlp\seg_9_07_0270209.jpg
