Segment_ID,等级,时长
0,class3,131.2
1,class3,134.25
2,class2,128.45
3,class3,134.4
4,class2,127.5
5,class3,131.45
6,class2,128.6
7,class3,131.15
8,class3,131.1
9,class2,130.15
10,class3,134.05
11,class3,133.95
12,class3,130.65
13,class2,128.4
14,class1,125.0
15,class2,129.75
16,class2,127.5
17,class2,128.85
18,class3,133.1
19,class2,129.5
20,class2,127.05
21,class2,129.6
22,class2,129.5
23,class2,129.35
24,class2,127.05
25,class2,129.5
26,class2,130.0
27,class2,129.0
28,class2,128.85
29,class2,128.85
30,class2,129.8
31,class3,132.7
32,class2,128.85
33,class2,126.15
