message,trainID,stationID,time,delay,received_at
trainDeparture,priority_dp_trip011,STA_1,28800.0,0.0,2026-07-14T12:35:51
trainArrival,priority_dp_trip011,STA_2,28902.0,-13.0,2026-07-14T12:35:51
trainDeparture,priority_dp_trip011,STA_2,28943.0,0.0,2026-07-14T12:35:51
trainPass,priority_dp_trip011,STA_2,28944.0,0.0,2026-07-14T12:35:51
trainArrival,priority_dp_trip011,STA_3,29073.0,-18.0,2026-07-14T12:35:51
trainDeparture,priority_dp_trip011,STA_3,29119.0,0.0,2026-07-14T12:35:51
trainPass,priority_dp_trip011,STA_3,29120.0,0.0,2026-07-14T12:35:51
trainArrival,priority_dp_trip011,STA_4,29217.0,-11.0,2026-07-14T12:35:51
trainDeparture,priority_dp_trip011,STA_4,29256.0,0.0,2026-07-14T12:35:51
trainPass,priority_dp_trip011,STA_4,29257.0,0.0,2026-07-14T12:35:51
trainArrival,priority_dp_trip011,STA_5,29330.0,-6.0,2026-07-14T12:35:52
trainDeparture,priority_dp_trip011,STA_5,29364.0,0.0,2026-07-14T12:35:52
trainPass,priority_dp_trip011,STA_5,29365.0,0.0,2026-07-14T12:35:52
trainArrival,priority_dp_trip011,STA_6,29487.0,-16.0,2026-07-14T12:35:52
trainDeparture,priority_dp_trip011,STA_6,29531.0,0.0,2026-07-14T12:35:52
trainPass,priority_dp_trip011,STA_6,29532.0,0.0,2026-07-14T12:35:52
trainArrival,priority_dp_trip011,STA_7,29617.0,-10.0,2026-07-14T12:35:52
trainDeparture,priority_dp_trip011,STA_7,29654.0,0.0,2026-07-14T12:35:52
trainPass,priority_dp_trip011,STA_7,29655.0,0.0,2026-07-14T12:35:52
trainArrival,priority_dp_trip011,STA_8,29735.0,-14.0,2026-07-14T12:35:52
trainDeparture,priority_dp_trip011,STA_8,29777.0,0.0,2026-07-14T12:35:52
trainPass,priority_dp_trip011,STA_8,29778.0,0.0,2026-07-14T12:35:52
trainArrival,priority_dp_trip011,STA_9,29897.0,-12.0,2026-07-14T12:35:53
trainDeparture,priority_dp_trip011,STA_9,29937.0,0.0,2026-07-14T12:35:53
trainPass,priority_dp_trip011,STA_9,29938.0,0.0,2026-07-14T12:35:53
