section_index,section,start_station_id,start_station_name,end_station_id,end_station_name,start_event_type,start_event_time,end_event_type,end_event_time,startRouteID,startRouteOffset,endRouteID,endRouteOffset,first_report_time,last_report_time,report_count,route_sequence,warning
1,布政-张家潭,STA_1,布政,STA_2,张家潭,trainDeparture,28800.0,trainArrival,28902.0,editSpeed-106-R:STA_1_[106]-STA_2_[110],0.0,editSpeed-110-R:STA_2_[110]-STA_3_[844],0.0,,,0,editSpeed-106-R:STA_1_[106]-STA_2_[110],fallback_route_entry_no_position_reports
2,张家潭-同德路,STA_2,张家潭,STA_3,同德路,trainArrival,28902.0,trainArrival,29073.0,editSpeed-110-R:STA_2_[110]-STA_3_[844],0.0,editSpeed-844-R:STA_3_[844]-STA_4_[975],0.0,,,0,editSpeed-110-R:STA_2_[110]-STA_3_[844],fallback_route_entry_no_position_reports
3,同德路-石碶,STA_3,同德路,STA_4,石碶,trainArrival,29073.0,trainArrival,29217.0,editSpeed-844-R:STA_3_[844]-STA_4_[975],0.0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0.0,,,0,editSpeed-844-R:STA_3_[844]-STA_4_[975],fallback_route_entry_no_position_reports
4,石碶-雅渡,STA_4,石碶,STA_5,雅渡,trainArrival,29217.0,trainArrival,29330.0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0.0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0.0,,,0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],fallback_route_entry_no_position_reports
5,雅渡-庙堰,STA_5,雅渡,STA_6,庙堰,trainArrival,29330.0,trainArrival,29487.0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0.0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0.0,,,0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],fallback_route_entry_no_position_reports
6,庙堰-钟公庙,STA_6,庙堰,STA_7,钟公庙,trainArrival,29487.0,trainArrival,29617.0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0.0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0.0,,,0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],fallback_route_entry_no_position_reports
7,钟公庙-鄞州区政府,STA_7,钟公庙,STA_8,鄞州区政府,trainArrival,29617.0,trainArrival,29735.0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0.0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0.0,,,0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],fallback_route_entry_no_position_reports
8,鄞州区政府-钱湖南路,STA_8,鄞州区政府,STA_9,钱湖南路,trainArrival,29735.0,trainArrival,29897.0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0.0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0.0,,,0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],fallback_route_entry_no_position_reports
9,钱湖南路-南高教园区,STA_9,钱湖南路,STA_10,南高教园区,trainArrival,29897.0,trainArrival,30026.0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0.0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0.0,,,0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],fallback_route_entry_no_position_reports
10,南高教园区-下应路,STA_10,南高教园区,STA_11,下应路,trainArrival,30026.0,trainArrival,30168.0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0.0,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],0.0,,,0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],fallback_route_entry_no_position_reports
11,下应路-大洋江,STA_11,下应路,STA_12,大洋江,trainArrival,30168.0,trainArrival,30299.0,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],0.0,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0.0,,,0,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],fallback_route_entry_no_position_reports
12,大洋江-泗港,STA_12,大洋江,STA_13,泗港,trainArrival,30299.0,trainArrival,30421.0,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0.0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0.0,,,0,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],fallback_route_entry_no_position_reports
13,泗港-曹隘,STA_13,泗港,STA_14,曹隘,trainArrival,30421.0,trainArrival,30593.0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0.0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0.0,,,0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],fallback_route_entry_no_position_reports
14,曹隘-柳隘,STA_14,曹隘,STA_15,柳隘,trainArrival,30593.0,trainArrival,30723.0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0.0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0.0,,,0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],fallback_route_entry_no_position_reports
15,柳隘-海晏北路,STA_15,柳隘,STA_16,海晏北路,trainArrival,30723.0,trainArrival,30848.0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0.0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0.0,,,0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],fallback_route_entry_no_position_reports
16,海晏北路-民安东路,STA_16,海晏北路,STA_17,民安东路,trainArrival,30848.0,trainArrival,30963.0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0.0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0.0,,,0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],fallback_route_entry_no_position_reports
17,民安东路-会展中心,STA_17,民安东路,STA_18,会展中心,trainArrival,30963.0,trainArrival,31068.0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0.0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0.0,,,0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],fallback_route_entry_no_position_reports
18,会展中心-院士路,STA_18,会展中心,STA_19,院士路,trainArrival,31068.0,trainArrival,31215.0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0.0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0.0,,,0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],fallback_route_entry_no_position_reports
19,院士路-盎孟港,STA_19,院士路,STA_20,盎孟港,trainArrival,31215.0,trainArrival,31331.0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0.0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0.0,,,0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],fallback_route_entry_no_position_reports
20,盎孟港-三官堂,STA_20,盎孟港,STA_21,三官堂,trainArrival,31331.0,trainArrival,31491.0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0.0,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0.0,,,0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],fallback_route_entry_no_position_reports
21,三官堂-兴庄路,STA_21,三官堂,STA_22,兴庄路,trainArrival,31491.0,trainArrival,31621.0,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0.0,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0.0,,,0,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],fallback_route_entry_no_position_reports
22,兴庄路-兴海南路,STA_22,兴庄路,STA_23,兴海南路,trainArrival,31621.0,trainArrival,31747.0,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0.0,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0.0,,,0,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],fallback_route_entry_no_position_reports
23,兴海南路-梅堰,STA_23,兴海南路,STA_24,梅堰,trainArrival,31747.0,trainArrival,31856.0,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0.0,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],0.0,,,0,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],fallback_route_entry_no_position_reports
24,梅堰-永茂路,STA_24,梅堰,STA_25,永茂路,trainArrival,31856.0,trainArrival,32185.0,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],0.0,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],0.0,,,0,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],fallback_route_entry_no_position_reports
25,永茂路-镇海大道,STA_25,永茂路,STA_26,镇海大道,trainArrival,32185.0,trainArrival,32395.0,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],0.0,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],0.0,,,0,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],fallback_route_entry_no_position_reports
26,镇海大道-骆驼桥,STA_26,镇海大道,STA_27,骆驼桥,trainArrival,32395.0,trainArrival,32543.0,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],0.0,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],,,,0,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],fallback_route_entry_no_position_reports;missing_next_route_entry_for_end_offset
