站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,29.4,30.0,-0.6,117.3,12947.63,13157.57,13153.48,历史原始实测能耗,209.94,real,class3,class3,80,80,strong,energy_first,215.24,UP006_20240701_171011_R274,5.0,274.0
张家潭-同德路,class1,141.0,29.41,30.0,-0.59,150.65,17890.72,17544.99,17466.44,历史原始实测能耗,-345.73,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.24,UP006_20240701_171011_R274,5.0,275.0
同德路-石碶,class3,109.0,33.35,34.0,-0.65,105.25,13094.43,15224.39,15073.98,历史原始实测能耗,2129.96,real,class3,class3,60,60,strong,energy_first,215.24,UP006_20240701_171011_R274,5.0,276.0
石碶-雅渡,class2,80.0,28.45,29.0,-0.55,78.75,11150.34,12939.97,12960.75,历史原始实测能耗,1789.63,real,class2,class2,38,38,strong,energy_first,216.44,UP006_20240701_171011_R274,5.0,277.0
雅渡-庙堰,class2,129.0,29.43,30.0,-0.57,133.65,20689.35,20940.58,19857.84,历史原始实测能耗,251.23,real,class2,class2,32,32,strong,energy_first,216.74,UP006_20240701_171011_R274,5.0,278.0
庙堰-钟公庙,class3,96.0,28.45,29.0,-0.55,94.5,12670.01,15968.47,15681.17,历史原始实测能耗,3298.46,real,class3,class3,84,84,strong,energy_first,216.74,UP006_20240701_171011_R274,5.0,279.0
钟公庙-鄞州区政府,class3,90.0,39.24,40.0,-0.76,89.1,10448.81,13551.39,13456.3,历史原始实测能耗,3102.58,real,class3,class3,108,108,strong,energy_first,217.14,UP006_20240701_171011_R274,5.0,280.0
鄞州区政府-钱湖南路,class2,128.0,28.45,29.0,-0.55,126.5,19075.66,18803.25,18419.28,历史原始实测能耗,-272.41,real,class2,class2,45,45,strong,energy_first,220.12,UP006_20240701_171011_R274,5.0,281.0
钱湖南路-南高教园区,class3,100.0,34.33,35.0,-0.67,96.9,14077.79,15653.37,15330.54,历史原始实测能耗,1575.58,real,class3,class3,63,63,strong,energy_first,220.72,UP006_20240701_171011_R274,5.0,282.0
南高教园区-下应路,class3,114.0,29.43,30.0,-0.57,110.3,18936.36,20574.15,20230.87,历史原始实测能耗,1637.79,real,class3,class3,63,63,strong,energy_first,220.9,UP006_20240701_171011_R274,5.0,283.0
下应路-大洋江,class2,101.0,28.45,29.0,-0.55,101.75,13829.28,14998.7,14791.77,历史原始实测能耗,1169.42,real,class2,class2,41,41,strong,energy_first,220.6,UP006_20240701_171011_R274,5.0,284.0
大洋江-泗港,class3,92.0,28.45,29.0,-0.55,91.25,11035.64,12113.82,11832.82,历史原始实测能耗,1078.18,real,class3,class3,99,99,strong,energy_first,220.5,UP006_20240701_171011_R274,5.0,285.0
泗港-曹隘,class4,137.0,30.41,31.0,-0.59,133.95,23674.93,23563.21,23565.45,历史原始实测能耗,-111.72,real,class4,class4,82,82,strong,energy_first,222.4,UP006_20240701_171011_R274,5.0,286.0
曹隘-柳隘,class4,113.0,29.43,30.0,-0.57,106.6,16455.82,21548.44,21437.77,历史原始实测能耗,5092.62,real,class4,class4,1,1,weak,energy_first,222.2,UP006_20240701_171011_R274,5.0,287.0
柳隘-海晏北路,class3,92.0,44.14,45.0,-0.86,88.95,11864.05,15180.26,15237.19,历史原始实测能耗,3316.21,real,class3,class3,35,35,strong,energy_first,222.9,UP006_20240701_171011_R274,5.0,288.0
海晏北路-民安东路,class3,85.0,29.43,30.0,-0.57,83.8,15446.56,16392.01,16242.82,历史原始实测能耗,945.45,real,class3,class3,41,41,strong,energy_first,225.2,UP006_20240701_171011_R274,5.0,289.0
民安东路-会展中心,class4,83.0,29.43,30.0,-0.57,76.7,7664.18,14197.15,14105.1,历史原始实测能耗,6532.97,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,230.0,UP006_20240701_171011_R274,5.0,290.0
会展中心-院士路,class3,115.0,28.45,29.0,-0.55,114.35,15848.39,15905.12,15712.8,历史原始实测能耗,56.73,real,class3,class3,104,104,strong,energy_first,230.7,UP006_20240701_171011_R274,5.0,291.0
院士路-盎孟港,class4,96.0,29.43,30.0,-0.57,90.0,14907.11,20392.67,20217.47,历史原始实测能耗,5485.56,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,230.3,UP006_20240701_171011_R274,5.0,292.0
盎孟港-三官堂,class2,132.0,29.43,30.0,-0.57,130.6,18772.4,20078.49,20129.52,历史原始实测能耗,1306.09,real,class2,class2,52,52,strong,energy_first,229.2,UP006_20240701_171011_R274,5.0,293.0
三官堂-兴庄路,class1,94.0,29.43,30.0,-0.57,98.1,13581.72,11604.37,11431.21,历史原始实测能耗,-1977.35,extrapolated_adjacent,class2,class2,0,46,generated,energy_first,223.7,UP006_20240701_171011_R274,5.0,294.0
兴庄路-兴海南路,class2,87.0,26.48,27.0,-0.52,88.4,16121.27,14994.04,14876.49,历史原始实测能耗,-1127.23,real,class2,class2,30,30,strong,energy_first,218.2,UP006_20240701_171011_R274,5.0,295.0
兴海南路-梅堰,class3,82.0,28.45,29.0,-0.55,81.35,11418.99,13391.91,13334.03,历史原始实测能耗,1972.92,real,class3,class3,73,73,strong,energy_first,216.72,UP006_20240701_171011_R274,5.0,296.0
梅堰-永茂路,class3,313.0,27.47,28.0,-0.53,318.25,30300.46,29025.22,29282.3,历史原始实测能耗,-1275.24,real,class3,class3,20,20,strong,energy_first,216.92,UP006_20240701_171011_R274,4.0,297.0
永茂路-镇海大道,class2,141.0,26.48,27.0,-0.52,142.15,17266.74,18214.62,17696.77,历史原始实测能耗,947.88,real,class2,class2,59,59,strong,energy_first,216.42,UP006_20240701_171011_R274,5.0,298.0
镇海大道-骆驼桥,class2,116.0,0.0,0.0,0.0,117.2,20254.56,20329.7,19981.18,历史原始实测能耗,75.14,real,class2,class2,101,101,strong,energy_first,215.84,UP006_20240701_171011_R274,5.0,299.0
