站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,25.0,117.65,12947.63,14089.18,14072.51,历史原始实测能耗,1141.55,real,class3,class3,80,80,strong,energy_first,215.24
张家潭-同德路,class4,159.0,25.0,149.95,16531.83,17853.57,17910.07,历史原始实测能耗,1321.74,extrapolated_adjacent,class3,class3,0,54,generated,energy_first,215.24
同德路-石碶,class3,109.0,25.0,109.45,13094.43,12635.22,12425.82,历史原始实测能耗,-459.21,real,class3,class3,60,60,strong,energy_first,215.24
石碶-雅渡,class2,80.0,25.0,83.9,11114.09,14061.91,13899.08,历史原始实测能耗,2947.82,real,class2,class2,38,38,strong,energy_first,215.64
雅渡-庙堰,class4,139.0,25.0,130.85,18182.81,21156.42,20297.49,历史原始实测能耗,2973.61,real,class4,class4,10,10,strong,energy_first,215.64
庙堰-钟公庙,class4,101.0,25.0,95.05,10870.5,13435.3,13274.0,历史原始实测能耗,2564.8,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,215.64
钟公庙-鄞州区政府,class4,95.0,25.0,91.5,7971.63,10059.38,9945.04,历史原始实测能耗,2087.75,real,class4,class4,1,1,weak,energy_first,215.54
鄞州区政府-钱湖南路,class4,139.0,25.0,131.6,15320.86,16619.51,16101.38,历史原始实测能耗,1298.65,extrapolated_adjacent,class3,class3,0,62,generated,energy_first,216.14
钱湖南路-南高教园区,class4,105.0,25.0,101.4,11855.41,13885.67,13437.37,历史原始实测能耗,2030.26,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,216.34
南高教园区-下应路,class4,120.0,25.0,114.55,16654.79,19354.08,19034.53,历史原始实测能耗,2699.29,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,216.24
下应路-大洋江,class3,106.0,25.0,105.75,11319.31,11238.91,11009.82,历史原始实测能耗,-80.4,real,class3,class3,65,65,strong,energy_first,216.34
大洋江-泗港,class4,96.0,25.0,91.45,9577.33,10860.59,10741.81,历史原始实测能耗,1283.26,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,216.34
泗港-曹隘,class4,137.0,25.0,134.7,23011.05,22482.05,22530.43,历史原始实测能耗,-529.0,real,class4,class4,82,82,strong,energy_first,216.34
曹隘-柳隘,class4,113.0,25.0,106.2,15975.51,20901.77,20724.0,历史原始实测能耗,4926.26,real,class4,class4,1,1,weak,energy_first,215.94
柳隘-海晏北路,class4,96.0,25.0,88.65,10279.24,14603.15,14687.95,历史原始实测能耗,4323.91,extrapolated_adjacent,class3,class3,0,35,generated,energy_first,215.94
海晏北路-民安东路,class4,89.0,25.0,84.15,12461.1,15766.87,15563.31,历史原始实测能耗,3305.77,extrapolated_adjacent,class3,class3,0,41,generated,energy_first,217.62
民安东路-会展中心,class4,83.0,25.0,77.1,6997.48,12400.49,12384.06,历史原始实测能耗,5403.01,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,218.02
会展中心-院士路,class4,121.0,25.0,114.8,13439.66,15044.78,14915.1,历史原始实测能耗,1605.12,extrapolated_adjacent,class3,class3,0,104,generated,energy_first,218.12
院士路-盎孟港,class4,96.0,25.0,90.0,14155.64,18576.59,18454.35,历史原始实测能耗,4420.95,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,217.02
盎孟港-三官堂,class4,146.0,25.0,140.3,16548.17,18213.98,17621.49,历史原始实测能耗,1665.81,extrapolated_adjacent,class3,class3,0,52,generated,energy_first,216.74
三官堂-兴庄路,class4,109.0,25.0,103.0,9994.74,10744.94,10588.06,历史原始实测能耗,750.2,extrapolated_adjacent,class3,class3,0,58,generated,energy_first,216.34
兴庄路-兴海南路,class4,96.0,25.0,90.95,9518.66,12746.29,12654.06,历史原始实测能耗,3227.63,extrapolated_adjacent,class3,class3,0,72,generated,energy_first,215.74
兴海南路-梅堰,class4,86.0,25.0,81.25,9580.99,12733.85,12662.32,历史原始实测能耗,3152.86,extrapolated_adjacent,class3,class3,0,73,generated,energy_first,215.44
梅堰-永茂路,class4,329.0,25.0,329.45,26368.47,25761.91,25923.33,历史原始实测能耗,-606.56,real,class4,class4,26,26,strong,energy_first,215.34
永茂路-镇海大道,class4,156.0,25.0,142.45,15542.69,17954.46,17582.73,历史原始实测能耗,2411.77,real,class4,class4,1,1,weak,energy_first,215.34
镇海大道-骆驼桥,class4,128.0,0.0,116.85,17274.17,20533.87,20143.76,历史原始实测能耗,3259.7,real,class4,class4,1,1,weak,energy_first,215.34
--- 总计 ---,节能率: 13.81%,3149.0,625.0,3772.95,356588.19,413714.74,408583.87,历史原始实测能耗,57126.55,,,,,,,energy_first,
