序号,区间,segment,来源run_id,绝对开始时间,绝对结束时间,趟次选择方式,数据读取来源,样本数,运行时间(s),区间里程(km),重量(t),历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%)
1,布政-张家潭,7,382,2024-07-01 21:44:24,2024-07-01 21:46:21,traceability-cache,cache,2327,116.3,1.429831805555551,215.24,13.153353112375,12.953575897439414,-0.199777214935586,-1.5188310784999048
2,张家潭-同德路,7,383,2024-07-01 21:46:51,2024-07-01 21:49:21,traceability-cache,cache,3005,150.2,2.020616249999999,215.24,17.411959775701387,16.642814807290005,-0.7691449684113831,-4.4173371539987984
3,同德路-石碶,7,384,2024-07-01 21:49:50,2024-07-01 21:51:41,traceability-cache,cache,2227,111.3,1.33032652777778,215.34,11.880661081847222,11.442001044106854,-0.43866003774036655,-3.6922191005903437
4,石碶-雅渡,7,385,2024-07-01 21:52:16,2024-07-01 21:53:39,traceability-cache,cache,1670,83.45,0.8272534722222235,216.44,13.1782893111875,13.375239788098304,0.19695047691080436,1.4945071568857298
5,雅渡-庙堰,7,386,2024-07-01 21:54:09,2024-07-01 21:56:20,traceability-cache,cache,2619,130.9,1.860997638888884,216.34,21.344765606118052,20.572650429292857,-0.7721151768251948,-3.617351396933979
6,庙堰-钟公庙,7,387,2024-07-01 21:56:50,2024-07-01 21:58:25,traceability-cache,cache,1907,95.3,1.087976250000003,216.32,13.772460030125,13.8315712654214,0.05911123529640099,0.42919881536853144
7,钟公庙-鄞州区政府,7,388,2024-07-01 21:58:56,2024-07-01 22:00:26,traceability-cache,cache,1807,90.3,0.984970000000001,216.14,10.293166852729168,10.845090764854536,0.5519239121253686,5.362041828545988
8,鄞州区政府-钱湖南路,7,389,2024-07-01 22:01:05,2024-07-01 22:03:18,traceability-cache,cache,2649,132.4,1.81168722222222,216.14,17.6122347175625,16.139248928623736,-1.472985788938764,-8.36342356640261
9,钱湖南路-南高教园区,7,390,2024-07-01 22:03:47,2024-07-01 22:05:27,traceability-cache,cache,2003,100.1,1.168931805555557,216.02,14.15221675951389,14.024498690483844,-0.1277180690300447,-0.9024598138958385
10,南高教园区-下应路,7,391,2024-07-01 22:06:02,2024-07-01 22:07:58,traceability-cache,cache,2304,115.15,1.452869166666662,216.14,18.94908316771528,18.023257503516884,-0.9258256641983935,-4.885859943745351
11,下应路-大洋江,7,392,2024-07-01 22:08:27,2024-07-01 22:10:12,traceability-cache,cache,2103,105.1,1.213911527777778,216.24,11.138455459423612,10.76406564840165,-0.3743898110219634,-3.3612363256811655
12,大洋江-泗港,7,393,2024-07-01 22:10:42,2024-07-01 22:12:15,traceability-cache,cache,1855,92.7,0.9585373611111122,215.84,10.057239963583333,10.330927607433997,0.27368764385066424,2.721299728769234
13,泗港-曹隘,7,394,2024-07-01 22:12:44,2024-07-01 22:14:59,traceability-cache,cache,2689,134.4,1.799835972222225,215.94,22.707034350875,23.25427952680331,0.5472451759283103,2.4100248736674974
14,曹隘-柳隘,7,395,2024-07-01 22:15:29,2024-07-01 22:17:16,traceability-cache,cache,2130,106.45,1.307647083333334,215.54,20.761081991965277,21.795206809087883,1.0341248171226034,4.981073806860446
15,柳隘-海晏北路,7,396,2024-07-01 22:17:45,2024-07-01 22:19:17,traceability-cache,cache,1832,91.55,0.9812611111111127,215.54,12.09455289995139,12.37302250316468,0.2784696032132906,2.302438176233946
16,海晏北路-民安东路,7,397,2024-07-01 22:20:02,2024-07-01 22:21:26,traceability-cache,cache,1681,84.0,0.8657316666666676,216.04,15.539427342048612,15.99179511542878,0.4523677733801669,2.911096808285149
17,民安东路-会展中心,7,398,2024-07-01 22:21:56,2024-07-01 22:23:14,traceability-cache,cache,1547,77.3,0.7256841666666677,216.44,12.235744016986112,12.68082337896859,0.4450793619824763,3.6375341079757844
18,会展中心-院士路,7,399,2024-07-01 22:23:44,2024-07-01 22:25:39,traceability-cache,cache,2300,114.95,1.552097499999999,216.24,14.95721046211111,15.150251384957416,0.19304092284630497,1.2906211578375995
19,院士路-盎孟港,7,400,2024-07-01 22:26:08,2024-07-01 22:27:38,traceability-cache,cache,1795,89.7,0.9940665277777769,215.94,18.64439940227083,18.78388295112964,0.13948354885881054,0.7481257285328369
20,盎孟港-三官堂,7,401,2024-07-01 22:28:08,2024-07-01 22:30:24,traceability-cache,cache,2737,136.8,1.876884166666665,215.94,18.658767837916667,17.755573237837766,-0.9031946000789031,-4.840590803876729
21,三官堂-兴庄路,7,402,2024-07-01 22:30:59,2024-07-01 22:32:42,traceability-cache,cache,2057,102.8,1.08017375,215.94,10.654178095888888,10.745061800579299,0.09088370469041002,0.8530334660491471
22,兴庄路-兴海南路,7,403,2024-07-01 22:33:13,2024-07-01 22:34:44,traceability-cache,cache,1827,91.3,0.9588601388888889,215.54,11.805990319618056,11.768572969458635,-0.0374173501594214,-0.3169352942568897
