Segment_ID,等级,时长
0,class1,76.45
1,class1,76.55
2,class3,81.45
3,class1,76.45
4,class2,79.35
5,class1,76.65
6,class3,81.6
7,class1,76.15
8,class1,76.2
9,class2,79.1
10,class1,76.4
11,class1,76.15
12,class1,76.15
13,class3,81.1
14,class1,76.6
15,class1,76.45
16,class2,79.75
17,class3,82.15
18,class4,84.85
19,class2,79.15
20,class2,79.25
21,class3,81.3
22,class3,81.2
23,class3,81.45
24,class3,81.45
25,class3,81.25
26,class1,73.8
27,class3,81.5
28,class2,79.45
29,class2,79.45
30,class2,79.6
31,class1,76.7
32,class2,79.55
33,class1,74.6
