class,curve_source,parent_ref,supporting_refs,real_sample_count,sample_reliability,template_source,template_run_id,template_distance_to_median_rmse_mps,center_time_median_s,time_s,samples,peak_v_kmh
class2,real,class2,class2,41,strong,medoid_real_run,07/1971987|71987|5014|UP,0.058115,101.6,101.6,41,71.91
class3,real,class3,class3,65,strong,medoid_real_run,07/2772799|72799|5012|UP,0.121666,106.2,106.2,65,62.75
class4,real,class4,class4,1,weak,medoid_real_run,0,0.016873,108.75,108.75,1,61.31
