趟次,场景,场景名称,区间数,最大区间列车质量(t),历史运行时间(s),历史停站时间(s),代码或历史能耗(kWh),新版Simu机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%),Simu与代码绝对差值(kWh),Simu与代码绝对误差(%),代码数值复现版本,图文件
6,dwell5_dp,停站放宽 5% DP,26,230.700000,2966.300000,770.000000,408.245200,408.277800,0.032600,0.007985,0.032600,0.007985,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip006\03_dwell5_dp.png
8,history,历史运行,26,216.440000,3024.200000,780.000000,407.964265,403.890858,-4.073407,-0.998472,4.073407,0.998472,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip008\00_history.png
8,standard_dp,标准 DP,26,216.440000,3024.200000,780.000000,397.414220,397.233761,-0.180459,-0.045408,0.180459,0.045408,legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip008\01_standard_dp.png
8,energy_first,Energy First,26,216.440000,3024.200000,780.000000,386.114660,386.136478,0.021818,0.005651,0.021818,0.005651,legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip008\02_energy_first.png
8,dwell5_dp,停站放宽 5% DP,26,216.440000,3024.200000,780.000000,387.378730,389.671256,2.292526,0.591805,2.292526,0.591805,legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip008\03_dwell5_dp.png
10,history,历史运行,26,216.940000,3021.100000,792.000000,410.217376,405.664784,-4.552592,-1.109800,4.552592,1.109800,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip010\00_history.png
10,standard_dp,标准 DP,26,216.940000,3021.100000,792.000000,394.193800,396.884215,2.690415,0.682511,2.690415,0.682511,legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip010\01_standard_dp.png
10,energy_first,Energy First,26,216.940000,3021.100000,792.000000,377.627240,379.561474,1.934234,0.512207,1.934234,0.512207,legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip010\02_energy_first.png
10,dwell5_dp,停站放宽 5% DP,26,216.940000,3021.100000,792.000000,387.188990,389.951659,2.762669,0.713519,2.762669,0.713519,legacy_v1;unresolved,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip010\03_dwell5_dp.png
12,history,历史运行,26,216.720000,3023.150000,784.000000,408.890515,405.244352,-3.646163,-0.891721,3.646163,0.891721,historical_measurement,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip012\00_history.png
12,standard_dp,标准 DP,26,216.720000,3023.150000,784.000000,396.900250,401.115060,4.214810,1.061932,4.214810,1.061932,legacy_v1,D:\energy_conservation\output\simu_code_trip_compare_complete25\trip012\01_standard_dp.png
