station_pair,class_name,status,reason,curve_source,parent_ref,supporting_refs,real_sample_count,parent_real_sample_count,sample_reliability,dp_candidate_stage,target_time_s,curve_csv,sim_time_s,peak_speed_kmh,total_dist_m
柳隘-海晏北路,class1,overspeed,最终生成曲线最高速度为 137.227083 km/h，超过 80.0 km/h，删除该等级,extrapolated_adjacent,class2,class2,0,70,generated,allow_extrapolated,83.0,,,,
柳隘-海晏北路,class2,overspeed,最终生成曲线最高速度为 100.152500 km/h，超过 80.0 km/h，删除该等级,real,class2,class2,70,70,strong,real_only,87.0,,,,
柳隘-海晏北路,class3,generated,最终生成曲线后验检查通过，峰值 64.812381 km/h,real,class3,class3,35,35,strong,real_only,92.0,D:\energy_conservation\output\ato_generated_results_new_v4\柳隘-海晏北路\class3_generated_curve.csv,91.95,64.8124,997.3592
柳隘-海晏北路,class4,generated,最终生成曲线后验检查通过，峰值 55.705711 km/h,extrapolated_adjacent,class3,class3,0,35,generated,allow_extrapolated,96.0,D:\energy_conservation\output\ato_generated_results_new_v4\柳隘-海晏北路\class4_generated_curve.csv,96.0,55.7057,995.8599
柳隘-海晏北路,class5,missing_source,no adjacent real template,missing,,,0,0,,not_allowed,101.0,,,,
