trip_no,comparison,section_index,站间区间,区间载重(t),载重来源,全局趟次ID,历史segment,历史来源run_id,归一化区间里程(km),载重里程(t·km),规划OT区间里程(km),历史OT区间里程(km),规划OT区间机械能(kWh),历史OT区间机械能(kWh),规划单位能耗[kWh/(t·km)],历史单位能耗[kWh/(t·km)],区间节能率(%)
67,standard_dp,1,布政-张家潭,215.34,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3654.0,1.42836,307.583042,1.428,1.428,13.42766667,13.00186111,0.0436554192,0.0422710596,-3.274958
67,standard_dp,2,张家潭-同德路,215.84,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3655.0,2.02109,436.232066,2.017,2.017,16.3465,16.33122222,0.0374720276,0.0374370055,-0.09355
67,standard_dp,3,同德路-石碶,216.72,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3656.0,1.33056,288.358963,1.331,1.331,12.78558333,14.50680556,0.0443391223,0.0503081485,11.864929
67,standard_dp,4,石碶-雅渡,224.8,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3657.0,0.82749,186.019752,0.827,0.827,10.18033333,12.18019444,0.0547271632,0.065477963,16.418959
67,standard_dp,5,雅渡-庙堰,229.2,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3658.0,1.86123,426.593916,1.86,1.86,21.83825,21.70263889,0.0511921272,0.0508742344,-0.62486
67,standard_dp,6,庙堰-钟公庙,232.0,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3659.0,1.0876,252.3232,1.086,1.086,13.52516667,14.9195,0.0536025489,0.0591285304,9.345711
67,standard_dp,7,钟公庙-鄞州区政府,234.1,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3660.0,0.98531,230.661071,0.984,0.984,11.77030556,11.77027778,0.0510285741,0.0510284537,-0.000236
67,standard_dp,8,鄞州区政府-钱湖南路,235.5,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3661.0,1.81287,426.930885,1.811,1.811,18.29619444,18.48022222,0.0428551672,0.0432862153,0.995809
67,standard_dp,9,钱湖南路-南高教园区,237.5,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3662.0,1.16891,277.616125,1.155,1.155,14.24855556,16.34658333,0.0513246684,0.0588819664,12.834656
67,standard_dp,10,南高教园区-下应路,240.7,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3663.0,1.45306,349.751542,1.452,1.452,20.07055556,20.18388889,0.057385181,0.0577092206,0.561504
67,standard_dp,11,下应路-大洋江,241.5,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3664.0,1.21409,293.202735,1.214,1.214,13.89591667,14.12502778,0.0473935438,0.0481749523,1.622022
67,standard_dp,12,大洋江-泗港,239.4,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,66.0,3665.0,0.95858,229.484052,0.958,0.958,11.70169444,12.66869444,0.0509913188,0.0552051192,7.632989
67,standard_dp,13,泗港-曹隘,238.2,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,67.0,3666.0,1.79907,428.538474,1.7981,1.798,25.20677778,25.83788889,0.0588203377,0.0602930436,2.44258
67,standard_dp,14,曹隘-柳隘,242.1,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,67.0,3667.0,1.30738,316.516698,1.308,1.308,23.59,18.67394444,0.0745300332,0.0589982916,-26.325748
67,standard_dp,15,柳隘-海晏北路,243.8,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,67.0,3668.0,0.98159,239.311642,0.98,0.98,12.55561111,15.51780556,0.0524655257,0.0648435046,19.089003
67,standard_dp,16,海晏北路-民安东路,249.6,traceable_standard_plan_MASS,UP067_20240716_074738_R3654,67.0,3669.0,0.86556,216.043776,0.866,0.8661,14.94669444,16.73011111,0.0691836382,0.0774385239,10.659921
