time_s,dist_m,velocity_mps,velocity_kmh
0.0,0.0,0.01139946559403973,0.04103807613854303
0.05,0.0019146533863329174,0.06518666985927696,0.23467201149339706
0.1,0.006364352165179575,0.11280128129458933,0.4060846126605216
0.15000000000000002,0.013056184222579505,0.15487200100140783,0.5575392036050681
0.2,0.02172867249964379,0.19202753008116355,0.6912991082921888
0.25,0.03215177499255507,0.2248965696352875,0.809627650687035
0.30000000000000004,0.04412688475256752,0.25410782076521066,0.9147881547547584
0.35000000000000003,0.05748682988600693,0.28028998457236576,1.0090439444605168
0.4,0.07206760427034758,0.30294099080126063,1.0905875668845384
0.45,0.0878004278063693,0.3263719506396081,1.1749390223025893
0.5,0.10467297776048555,0.34853004752504174,1.2547081710901502
0.55,0.12263018454766991,0.369758223962333,1.3311296062643987
0.6000000000000001,0.14163327446469037,0.3903653727184854,1.4053153417865476
0.65,0.16165726031014752,0.41059406109980057,1.478138619959282
0.7000000000000001,0.1826882719203692,0.43064640330906745,1.5503270519126429
0.75,0.20472304704445088,0.45074460165419983,1.6226805659551193
0.8,0.22776771124026932,0.4710419661785378,1.695751078242736
0.8500000000000001,0.2518339860097181,0.4916090245994148,1.7697924885578933
0.9,0.27693484604450636,0.512425376792115,1.844731356451614
0.9500000000000001,0.30308275477750757,0.5334909725279324,1.9205675011005567
1.0,0.3302883593124544,0.5547332088699415,1.9970395519317894
1.05,0.3585517741954442,0.5758033864496492,2.0728921912187372
1.1,0.387865088212585,0.5967291742359823,2.148225027249536
1.1500000000000001,0.41822357310465286,0.617610221446734,2.2233967972082427
1.2000000000000002,0.4496258393567934,0.6384804286388881,2.2985295430999972
1.25,0.4820709059176656,0.6593222337960001,2.3735600416656
1.3,0.5155588900406294,0.6801971311225512,2.4487096720411845
1.35,0.5500929583429147,0.7011656009688603,2.524196163487897
1.4000000000000001,0.5856791567776496,0.7222823364205337,2.6002164111139217
1.4500000000000002,0.6223282838576493,0.7436827467794523,2.6772578884060283
1.5,0.6600563980035062,0.7654418190548272,2.755590548597378
1.55,0.6988831323857028,0.7876275562330335,2.8354592024389205
1.6,0.7388319533153417,0.810325280952524,2.9171710114290863
1.6500000000000001,0.7799324889950218,0.8336961462346795,3.001306126444846
1.7000000000000002,0.8222187632062102,0.857754822212861,3.0879173599663
1.75,0.8657236981669215,0.8824425762155883,3.176793274376118
1.8,0.9104810014461667,0.9078495549542206,3.268258397835194
1.85,0.9565276722268833,0.9340172762744414,3.362462194587989
1.9000000000000001,1.0039010476635974,0.9609177411941288,3.4593038682988637
1.9500000000000002,1.0526372711651835,0.9885311988693117,3.5587123159295224
2.0,1.1027710547385308,1.0168201440645763,3.6605525186324748
2.0500000000000003,1.154333477222639,1.0456767552997548,3.7644363190791172
2.1,1.2073497656827041,1.0749747831028502,3.869909219170261
2.15,1.2618409183723933,1.1046713244847148,3.9768167681449733
2.2,1.3178241988562194,1.134659894868331,4.084775621525992
2.25,1.3753094809350768,1.1647513882859664,4.193104997829479
2.3000000000000003,1.4343008286258427,1.1949025193446694,4.30164906964081
2.35,1.4947998708219643,1.2250591685001966,4.410213006600708
2.4000000000000004,1.556804599821481,1.2551299914804757,4.518467969329713
