站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,24.6,116.3,12947.63,13108.53,13116.69,历史原始实测能耗,160.9,real,class3,class3,80,80,strong,energy_first,215.24
张家潭-同德路,class4,159.0,24.6,150.45,16531.83,17458.04,17438.95,历史原始实测能耗,926.21,extrapolated_adjacent,class3,class3,0,54,generated,energy_first,215.24
同德路-石碶,class3,109.0,24.6,110.5,13094.43,11767.72,11623.61,历史原始实测能耗,-1326.71,real,class3,class3,60,60,strong,energy_first,215.24
石碶-雅渡,class2,80.0,24.6,83.9,11094.88,13065.51,12926.14,历史原始实测能耗,1970.63,real,class2,class2,38,38,strong,energy_first,215.54
雅渡-庙堰,class4,139.0,24.6,130.0,18182.81,21102.91,20216.12,历史原始实测能耗,2920.1,real,class4,class4,10,10,strong,energy_first,215.64
庙堰-钟公庙,class4,101.0,24.6,96.4,10898.18,13037.62,12837.76,历史原始实测能耗,2139.44,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,215.84
钟公庙-鄞州区政府,class4,95.0,24.6,90.05,7979.13,10306.1,10266.51,历史原始实测能耗,2326.97,real,class4,class4,1,1,weak,energy_first,215.64
鄞州区政府-钱湖南路,class4,139.0,24.6,132.7,15233.58,17209.04,16711.4,历史原始实测能耗,1975.46,extrapolated_adjacent,class3,class3,0,62,generated,energy_first,215.64
钱湖南路-南高教园区,class4,105.0,24.6,100.6,11774.49,13790.07,13453.28,历史原始实测能耗,2015.58,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.54
南高教园区-下应路,class4,120.0,24.6,115.9,16592.61,18943.01,18685.44,历史原始实测能耗,2350.4,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.74
下应路-大洋江,class3,106.0,24.6,105.5,11259.42,11394.16,11118.5,历史原始实测能耗,134.74,real,class3,class3,65,65,strong,energy_first,215.84
大洋江-泗港,class4,96.0,24.6,92.5,9535.67,10679.52,10452.88,历史原始实测能耗,1143.85,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,215.74
泗港-曹隘,class4,137.0,24.6,134.75,22938.9,22526.53,22662.52,历史原始实测能耗,-412.37,real,class4,class4,82,82,strong,energy_first,215.74
曹隘-柳隘,class4,113.0,24.6,106.7,15948.2,20827.52,20713.99,历史原始实测能耗,4879.32,real,class4,class4,1,1,weak,energy_first,215.64
柳隘-海晏北路,class4,96.0,24.6,88.7,10271.9,13379.49,13502.18,历史原始实测能耗,3107.59,extrapolated_adjacent,class3,class3,0,35,generated,energy_first,215.84
海晏北路-民安东路,class4,89.0,24.6,83.95,12319.28,15568.87,15379.03,历史原始实测能耗,3249.59,extrapolated_adjacent,class3,class3,0,41,generated,energy_first,216.04
民安东路-会展中心,class4,83.0,24.6,76.15,6860.58,12272.75,12278.89,历史原始实测能耗,5412.17,extrapolated_adjacent,class3,class3,0,8,generated,energy_first,216.14
会展中心-院士路,class4,121.0,24.6,114.95,13277.84,14797.94,14703.78,历史原始实测能耗,1520.1,extrapolated_adjacent,class3,class3,0,104,generated,energy_first,215.84
院士路-盎孟港,class4,96.0,24.6,90.65,13948.18,19729.05,19577.84,历史原始实测能耗,5780.87,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,215.64
盎孟港-三官堂,class4,146.0,24.6,136.55,16330.48,17019.37,16642.82,历史原始实测能耗,688.89,extrapolated_adjacent,class3,class3,0,52,generated,energy_first,215.74
三官堂-兴庄路,class4,109.0,24.6,104.95,9960.93,10566.75,10356.45,历史原始实测能耗,605.82,extrapolated_adjacent,class3,class3,0,58,generated,energy_first,215.84
兴庄路-兴海南路,class4,96.0,24.6,92.1,9499.25,11051.91,10930.6,历史原始实测能耗,1552.66,extrapolated_adjacent,class3,class3,0,72,generated,energy_first,215.64
兴海南路-梅堰,class4,86.0,24.6,81.25,9616.99,12047.53,12056.4,历史原始实测能耗,2430.54,extrapolated_adjacent,class3,class3,0,73,generated,energy_first,215.64
梅堰-永茂路,class4,329.0,24.6,318.25,26848.41,29025.22,29282.3,历史原始实测能耗,2176.81,real,class4,class4,26,26,strong,energy_first,216.92
永茂路-镇海大道,class4,156.0,24.6,142.35,15613.83,17808.47,17549.28,历史原始实测能耗,2194.64,real,class4,class4,1,1,weak,energy_first,215.44
镇海大道-骆驼桥,class4,128.0,0.0,116.6,17268.28,19865.41,19500.67,历史原始实测能耗,2597.13,real,class4,class4,1,1,weak,energy_first,215.24
--- 总计 ---,节能率: 12.86%,3149.0,615.0000000000001,3762.7,355827.71,408349.04,403984.03,历史原始实测能耗,52521.33,,,,,,,energy_first,
