t,v,s,t_global,station_pair
113.2,16.000000000000007,1633.4265113636056,738.6500000000001,雅渡-庙堰
113.25,15.975000000000009,1634.2252613636056,738.7,雅渡-庙堰
113.30000000000001,15.950000000000003,1635.0227613636055,738.75,雅渡-庙堰
113.35000000000001,15.925000000000004,1635.8190113636056,738.8000000000001,雅渡-庙堰
113.4,15.900000000000006,1636.6140113636056,738.85,雅渡-庙堰
113.45,15.875000000000007,1637.4077613636057,738.9000000000001,雅渡-庙堰
113.5,15.850000000000009,1638.2002613636057,738.95,雅渡-庙堰
113.55000000000001,15.825000000000003,1638.9915113636057,739.0,雅渡-庙堰
113.60000000000001,15.800000000000004,1639.7815113636057,739.0500000000001,雅渡-庙堰
113.65,15.775000000000006,1640.5702613636056,739.1,雅渡-庙堰
113.7,15.750000000000007,1641.3577613636055,739.1500000000001,雅渡-庙堰
113.75,15.725000000000009,1642.1440113636056,739.2,雅渡-庙堰
113.80000000000001,15.700000000000003,1642.9290113636057,739.25,雅渡-庙堰
113.85000000000001,15.675000000000004,1643.7127613636058,739.3000000000001,雅渡-庙堰
113.9,15.650000000000006,1644.4952613636058,739.35,雅渡-庙堰
113.95,15.625000000000007,1645.2765113636058,739.4000000000001,雅渡-庙堰
114.0,15.600000000000009,1646.0565113636058,739.45,雅渡-庙堰
114.05000000000001,15.575000000000003,1646.8352613636057,739.5,雅渡-庙堰
114.10000000000001,15.550000000000004,1647.6127613636056,739.5500000000001,雅渡-庙堰
114.15,15.525000000000006,1648.3890113636055,739.6,雅渡-庙堰
114.2,15.500000000000007,1649.1640113636056,739.6500000000001,雅渡-庙堰
114.25,15.475000000000009,1649.9377613636057,739.7,雅渡-庙堰
114.30000000000001,15.450000000000003,1650.7102613636057,739.75,雅渡-庙堰
114.35000000000001,15.425000000000004,1651.4815113636057,739.8000000000001,雅渡-庙堰
114.4,15.400000000000006,1652.2515113636057,739.85,雅渡-庙堰
114.45,15.375000000000007,1653.0202613636056,739.9000000000001,雅渡-庙堰
114.5,15.350000000000009,1653.7877613636056,739.95,雅渡-庙堰
114.55000000000001,15.325000000000003,1654.5540113636055,740.0,雅渡-庙堰
114.60000000000001,15.300000000000004,1655.3190113636056,740.0500000000001,雅渡-庙堰
114.65,15.275000000000006,1656.0827613636056,740.1,雅渡-庙堰
114.7,15.250000000000007,1656.8452613636057,740.1500000000001,雅渡-庙堰
114.75,15.225000000000009,1657.6065113636057,740.2,雅渡-庙堰
114.80000000000001,15.200000000000003,1658.3665113636057,740.25,雅渡-庙堰
114.85000000000001,15.175000000000004,1659.1252613636057,740.3000000000001,雅渡-庙堰
114.9,15.150000000000006,1659.8827613636056,740.35,雅渡-庙堰
114.95,15.125000000000007,1660.6390113636055,740.4000000000001,雅渡-庙堰
115.0,15.100000000000009,1661.3940113636056,740.45,雅渡-庙堰
115.05000000000001,15.075000000000003,1662.1477613636057,740.5,雅渡-庙堰
115.10000000000001,15.050000000000004,1662.9002613636058,740.5500000000001,雅渡-庙堰
115.15,15.025000000000006,1663.6515113636058,740.6,雅渡-庙堰
115.2,15.000000000000007,1664.4015113636058,740.6500000000001,雅渡-庙堰
115.25,14.975000000000009,1665.1502613636058,740.7,雅渡-庙堰
