station_pair,t_arrival(s),v_peak_opt(m/s),energy(Wh),dwell_time(s)
布政-张家潭,108.5,20.80000000000001,14705.91066800162,30.0
张家潭-同德路,141.45,19.60000000000001,17816.113288547225,25.0
同德路-石碶,104.95,20.00000000000001,12711.586759575535,40.0
石碶-雅渡,86.7,14.000000000000009,8139.715036977883,30.0
雅渡-庙堰,126.3,22.200000000000017,21524.41822968074,20.0
庙堰-钟公庙,91.65,21.00000000000001,12868.821667270431,30.0
钟公庙-鄞州区政府,93.2,15.80000000000001,7221.922175084002,30.0
鄞州区政府-钱湖南路,126.7,21.00000000000001,17304.674591504932,30.0
钱湖南路-南高教园区,94.65,22.200000000000017,14853.350918240703,30.0
南高教园区-下应路,109.65,20.80000000000001,18048.18755975768,30.0
下应路-大洋江,99.6,19.60000000000001,12861.517132424326,30.0
大洋江-泗港,85.85,20.200000000000014,11525.698590895923,30.0
泗港-曹隘,135.66,17.5,20695.562880860238,30.0
曹隘-柳隘,101.0,22.200000000000017,15631.565041562651,30.0
柳隘-海晏北路,91.05,16.80000000000001,10321.209241700017,30.0
海晏北路-民安东路,90.45,13.600000000000009,9245.64807031344,30.0
民安东路-会展中心,80.95,13.200000000000006,5443.458088198452,30.0
会展中心-院士路,112.2,22.200000000000017,14804.69786070494,30.0
院士路-盎孟港,88.8,19.00000000000001,15295.363066019116,30.0
盎孟港-三官堂,127.05,22.200000000000017,17893.785531823214,30.0
三官堂-兴庄路,94.25,18.400000000000013,11988.603542933552,30.0
兴庄路-兴海南路,96.9,13.800000000000008,7097.712027967053,30.0
兴海南路-梅堰,80.6,18.400000000000013,10356.413316053564,30.0
梅堰-永茂路,283.98,17.362492667995202,30971.00529145316,30.0
永茂路-镇海大道,139.2,22.00000000000001,16201.93498163722,30.0
镇海大道-骆驼桥,114.2,22.200000000000017,19255.31838400151,30.0
总计,2905.49,,374784.19394318917,775.0
