Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:55	08:02:25	215.34	Class3
同德路	08:04:53	08:05:23	215.74	Class2
石碶	08:07:07	08:07:37	215.34	Class2
雅渡	08:09:03	08:09:33	215.84	Class4
庙堰	08:11:42	08:12:12	222.3	Class2
钟公庙	08:13:45	08:14:15	215.84	Class2
鄞州区政府	08:15:45	08:16:15	215.54	Class3
钱湖南路	08:18:34	08:19:04	215.94	Class4
南高教园区	08:20:44	08:21:14	216.24	Class3
下应路	08:23:14	08:23:44	216.82	Class4
大洋江	08:25:30	08:26:00	216.82	Class3
泗港	08:27:36	08:28:06	238.5	Class4
曹隘	08:30:14	08:30:44	215.24	Class2
柳隘	08:32:32	08:33:02	216.24	Class3
海晏北路	08:34:29	08:34:59	220.7	Class2
民安东路	08:36:22	08:36:52	219.72	Class2
会展中心	08:38:08	08:38:38	218.42	Class2
院士路	08:40:33	08:41:03	228.4	Class3
盎孟港	08:42:34	08:43:04	216.74	Class3
三官堂	08:45:23	08:45:53	216.54	Class3
兴庄路	08:47:32	08:48:02	215.54	Class2
兴海南路	08:49:29	08:49:59	216.04	Class2
梅堰	08:51:17	08:51:47	216.04	Class2
永茂路	08:56:45	08:57:15	217.92	Class2
镇海大道	08:59:36	09:00:06	216.54	Class2
骆驼桥	09:02:02	09:02:02	215.54	Class2
