Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:55	08:02:25	215.34	Class3
同德路	08:04:56	08:05:26	215.24	Class3
石碶	08:07:15	08:07:45	215.34	Class3
雅渡	08:09:07	08:09:37	216.04	Class3
庙堰	08:11:46	08:12:16	216.74	Class2
钟公庙	08:13:49	08:14:19	225.9	Class2
鄞州区政府	08:15:45	08:16:15	219.4	Class2
钱湖南路	08:18:23	08:18:53	215.44	Class2
南高教园区	08:20:29	08:20:59	215.94	Class2
下应路	08:22:49	08:23:19	224.8	Class2
大洋江	08:25:05	08:25:35	216.34	Class3
泗港	08:27:02	08:27:32	216.24	Class2
曹隘	08:29:40	08:30:10	225.2	Class2
柳隘	08:32:03	08:32:33	215.74	Class4
海晏北路	08:34:09	08:34:39	220.3	Class4
民安东路	08:36:02	08:36:32	215.64	Class2
会展中心	08:37:48	08:38:18	218.12	Class2
院士路	08:40:13	08:40:43	215.94	Class3
盎孟港	08:42:14	08:42:44	228.0	Class3
三官堂	08:44:56	08:45:26	215.74	Class2
兴庄路	08:47:15	08:47:45	215.84	Class4
兴海南路	08:49:16	08:49:46	215.64	Class3
梅堰	08:51:04	08:51:34	216.04	Class2
永茂路	08:56:32	08:57:02	216.32	Class2
镇海大道	08:59:38	09:00:08	216.54	Class4
骆驼桥	09:02:16	09:02:16	215.64	Class4
