Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:52	08:02:22	215.24	Class2
同德路	08:05:01	08:05:31	215.44	Class4
石碶	08:07:15	08:07:45	216.62	Class2
雅渡	08:09:11	08:09:41	216.34	Class4
庙堰	08:11:53	08:12:23	225.7	Class3
钟公庙	08:13:59	08:14:29	217.24	Class3
鄞州区政府	08:15:59	08:16:29	228.1	Class3
钱湖南路	08:18:41	08:19:11	231.4	Class3
南高教园区	08:20:47	08:21:17	220.8	Class2
下应路	08:23:07	08:23:37	215.44	Class2
大洋江	08:25:23	08:25:53	216.74	Class3
泗港	08:27:20	08:27:50	215.84	Class2
曹隘	08:30:07	08:30:37	215.44	Class4
柳隘	08:32:25	08:32:55	216.04	Class3
海晏北路	08:34:31	08:35:01	217.12	Class4
民安东路	08:36:24	08:36:54	224.1	Class2
会展中心	08:38:13	08:38:43	217.24	Class3
院士路	08:40:38	08:41:08	220.12	Class3
盎孟港	08:42:36	08:43:06	219.4	Class2
三官堂	08:45:18	08:45:48	215.34	Class2
兴庄路	08:47:27	08:47:57	222.6	Class2
兴海南路	08:49:28	08:49:58	216.22	Class3
梅堰	08:51:20	08:51:50	216.34	Class3
永茂路	08:56:48	08:57:18	215.84	Class2
镇海大道	08:59:46	09:00:16	216.92	Class3
骆驼桥	09:02:18	09:02:18	215.34	Class3
