Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:52	08:02:22	215.34	Class2
同德路	08:04:50	08:05:20	215.44	Class2
石碶	08:07:09	08:07:39	215.24	Class3
雅渡	08:09:05	08:09:35	215.34	Class4
庙堰	08:11:44	08:12:14	222.3	Class2
钟公庙	08:13:47	08:14:17	227.8	Class2
鄞州区政府	08:15:47	08:16:17	229.9	Class3
钱湖南路	08:18:25	08:18:55	231.4	Class2
南高教园区	08:20:40	08:21:10	216.44	Class4
下应路	08:23:00	08:23:30	219.02	Class2
大洋江	08:25:16	08:25:46	232.0	Class3
泗港	08:27:13	08:27:43	216.24	Class2
曹隘	08:30:00	08:30:30	220.3	Class4
柳隘	08:32:18	08:32:48	220.7	Class3
海晏北路	08:34:15	08:34:45	216.14	Class2
民安东路	08:36:14	08:36:44	216.64	Class4
会展中心	08:38:00	08:38:30	229.0	Class2
院士路	08:40:22	08:40:52	220.12	Class2
盎孟港	08:42:23	08:42:53	215.74	Class3
三官堂	08:45:05	08:45:35	215.44	Class2
兴庄路	08:47:24	08:47:54	216.52	Class4
兴海南路	08:49:21	08:49:51	215.64	Class2
梅堰	08:51:09	08:51:39	216.22	Class2
永茂路	08:56:37	08:57:07	217.12	Class2
镇海大道	08:59:28	08:59:58	215.64	Class2
骆驼桥	09:01:54	09:01:54	215.84	Class2
