Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:52	08:02:22	215.34	Class2
同德路	08:04:53	08:05:23	215.94	Class3
石碶	08:07:07	08:07:37	216.72	Class2
雅渡	08:08:59	08:09:29	216.54	Class3
庙堰	08:11:41	08:12:11	216.94	Class3
钟公庙	08:13:44	08:14:14	225.9	Class2
鄞州区政府	08:15:44	08:16:14	215.34	Class3
钱湖南路	08:18:26	08:18:56	216.14	Class3
南高教园区	08:20:32	08:21:02	221.92	Class2
下应路	08:23:02	08:23:32	215.44	Class4
大洋江	08:25:18	08:25:48	218.82	Class3
泗港	08:27:15	08:27:45	216.94	Class2
曹隘	08:29:55	08:30:25	216.14	Class3
柳隘	08:32:11	08:32:41	216.04	Class2
海晏北路	08:34:08	08:34:38	217.12	Class2
民安东路	08:36:07	08:36:37	216.22	Class4
会展中心	08:37:53	08:38:23	223.6	Class2
院士路	08:40:18	08:40:48	220.8	Class3
盎孟港	08:42:16	08:42:46	217.64	Class2
三官堂	08:44:58	08:45:28	215.24	Class2
兴庄路	08:47:07	08:47:37	224.3	Class2
兴海南路	08:49:04	08:49:34	217.82	Class2
梅堰	08:50:56	08:51:26	216.22	Class3
永茂路	08:56:39	08:57:09	215.54	Class3
镇海大道	08:59:37	09:00:07	216.12	Class3
骆驼桥	09:02:03	09:02:03	215.44	Class2
