Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:52	08:02:22	215.24	Class2
同德路	08:04:50	08:05:20	215.24	Class2
石碶	08:07:09	08:07:39	216.62	Class3
雅渡	08:09:05	08:09:35	223.1	Class4
庙堰	08:11:47	08:12:17	215.54	Class3
钟公庙	08:13:53	08:14:23	227.8	Class3
鄞州区政府	08:15:58	08:16:28	215.94	Class4
钱湖南路	08:18:47	08:19:17	231.4	Class4
南高教园区	08:20:53	08:21:23	216.44	Class2
下应路	08:23:13	08:23:43	216.04	Class2
大洋江	08:25:24	08:25:54	216.14	Class2
泗港	08:27:21	08:27:51	215.74	Class2
曹隘	08:30:01	08:30:31	216.24	Class3
柳隘	08:32:19	08:32:49	216.82	Class3
海晏北路	08:34:16	08:34:46	216.22	Class2
民安东路	08:36:15	08:36:45	219.32	Class4
会展中心	08:38:08	08:38:38	216.54	Class4
院士路	08:40:33	08:41:03	229.2	Class3
盎孟港	08:42:39	08:43:09	215.74	Class4
三官堂	08:45:21	08:45:51	218.84	Class2
兴庄路	08:47:30	08:48:00	222.6	Class2
兴海南路	08:49:31	08:50:01	215.84	Class3
梅堰	08:51:19	08:51:49	217.82	Class2
永茂路	08:56:47	08:57:17	217.92	Class2
镇海大道	08:59:38	09:00:08	217.12	Class2
骆驼桥	09:02:04	09:02:04	216.32	Class2
