Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:55	08:02:25	215.24	Class3
同德路	08:04:56	08:05:26	215.24	Class3
石碶	08:07:15	08:07:45	215.74	Class3
雅渡	08:09:05	08:09:35	216.64	Class2
庙堰	08:11:44	08:12:14	216.04	Class2
钟公庙	08:13:50	08:14:20	227.8	Class3
鄞州区政府	08:15:50	08:16:20	216.24	Class3
钱湖南路	08:18:39	08:19:09	216.24	Class4
南高教园区	08:20:49	08:21:19	220.8	Class3
下应路	08:23:13	08:23:43	216.64	Class3
大洋江	08:25:34	08:26:04	216.44	Class4
泗港	08:27:31	08:28:01	223.2	Class2
曹隘	08:30:11	08:30:41	216.24	Class3
柳隘	08:32:27	08:32:57	220.42	Class2
海晏北路	08:34:29	08:34:59	220.1	Class3
民安东路	08:36:22	08:36:52	234.8	Class2
会展中心	08:38:11	08:38:41	216.44	Class3
院士路	08:40:36	08:41:06	217.14	Class3
盎孟港	08:42:37	08:43:07	227.0	Class3
三官堂	08:45:19	08:45:49	216.82	Class2
兴庄路	08:47:28	08:47:58	215.54	Class2
兴海南路	08:49:25	08:49:55	215.24	Class2
梅堰	08:51:13	08:51:43	215.34	Class2
永茂路	08:56:56	08:57:26	215.24	Class3
镇海大道	08:59:54	09:00:24	216.12	Class3
骆驼桥	09:02:20	09:02:20	215.44	Class2
