Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:55	08:02:25	215.24	Class3
同德路	08:04:56	08:05:26	215.34	Class3
石碶	08:07:20	08:07:50	215.24	Class4
雅渡	08:09:16	08:09:46	220.6	Class4
庙堰	08:11:58	08:12:28	217.24	Class3
钟公庙	08:14:04	08:14:34	216.84	Class3
鄞州区政府	08:16:00	08:16:30	216.32	Class2
钱湖南路	08:18:42	08:19:12	221.42	Class3
南高教园区	08:20:52	08:21:22	217.92	Class3
下应路	08:23:16	08:23:46	216.14	Class3
大洋江	08:25:27	08:25:57	224.3	Class2
泗港	08:27:33	08:28:03	221.3	Class4
曹隘	08:30:11	08:30:41	215.64	Class2
柳隘	08:32:27	08:32:57	216.04	Class2
海晏北路	08:34:29	08:34:59	221.5	Class3
民安东路	08:36:22	08:36:52	217.44	Class2
会展中心	08:38:08	08:38:38	216.64	Class2
院士路	08:40:30	08:41:00	229.2	Class2
盎孟港	08:42:36	08:43:06	216.54	Class4
三官堂	08:45:18	08:45:48	218.4	Class2
兴庄路	08:47:27	08:47:57	224.3	Class2
兴海南路	08:49:24	08:49:54	215.64	Class2
梅堰	08:51:12	08:51:42	216.04	Class2
永茂路	08:56:40	08:57:10	215.54	Class2
镇海大道	08:59:38	09:00:08	215.24	Class3
骆驼桥	09:02:10	09:02:10	216.32	Class3
