Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:02:01	08:02:31	215.24	Class4
同德路	08:05:02	08:05:32	215.44	Class3
石碶	08:07:16	08:07:46	215.44	Class2
雅渡	08:09:12	08:09:42	215.24	Class4
庙堰	08:11:54	08:12:24	216.04	Class3
钟公庙	08:14:00	08:14:30	225.9	Class3
鄞州区政府	08:16:00	08:16:30	215.94	Class3
钱湖南路	08:18:38	08:19:08	216.04	Class2
南高教园区	08:20:48	08:21:18	233.6	Class3
下应路	08:23:08	08:23:38	216.64	Class2
大洋江	08:25:24	08:25:54	215.94	Class3
泗港	08:27:26	08:27:56	223.2	Class3
曹隘	08:30:04	08:30:34	231.0	Class2
柳隘	08:32:22	08:32:52	216.74	Class3
海晏北路	08:34:19	08:34:49	220.7	Class2
民安东路	08:36:18	08:36:48	216.54	Class4
会展中心	08:38:11	08:38:41	229.0	Class4
院士路	08:40:36	08:41:06	220.8	Class3
盎孟港	08:42:34	08:43:04	228.0	Class2
三官堂	08:45:16	08:45:46	228.2	Class2
兴庄路	08:47:25	08:47:55	215.24	Class2
兴海南路	08:49:31	08:50:01	216.24	Class4
梅堰	08:51:19	08:51:49	215.74	Class2
永茂路	08:57:02	08:57:32	217.42	Class3
镇海大道	08:59:53	09:00:23	216.54	Class2
骆驼桥	09:02:19	09:02:19	215.84	Class2
