Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:52	08:02:22	215.24	Class2
同德路	08:04:50	08:05:20	215.94	Class2
石碶	08:07:04	08:07:34	215.44	Class2
雅渡	08:08:54	08:09:24	215.94	Class2
庙堰	08:11:33	08:12:03	215.44	Class2
钟公庙	08:13:36	08:14:06	225.9	Class2
鄞州区政府	08:15:32	08:16:02	215.64	Class2
钱湖南路	08:18:14	08:18:44	215.44	Class3
南高教园区	08:20:20	08:20:50	215.84	Class2
下应路	08:22:50	08:23:20	216.34	Class4
大洋江	08:25:01	08:25:31	219.52	Class2
泗港	08:27:03	08:27:33	215.84	Class3
曹隘	08:29:43	08:30:13	225.2	Class3
柳隘	08:31:59	08:32:29	215.54	Class2
海晏北路	08:33:56	08:34:26	215.64	Class2
民安东路	08:35:49	08:36:19	215.94	Class2
会展中心	08:37:42	08:38:12	216.64	Class4
院士路	08:40:13	08:40:43	215.74	Class4
盎孟港	08:42:19	08:42:49	217.64	Class4
三官堂	08:45:01	08:45:31	217.04	Class2
兴庄路	08:47:10	08:47:40	215.54	Class2
兴海南路	08:49:07	08:49:37	215.44	Class2
梅堰	08:50:55	08:51:25	216.22	Class2
永茂路	08:56:23	08:56:53	215.44	Class2
镇海大道	08:59:21	08:59:51	216.04	Class3
骆驼桥	09:01:47	09:01:47	215.84	Class2
