Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:52	08:02:22	215.24	Class2
同德路	08:04:53	08:05:23	215.34	Class3
石碶	08:07:07	08:07:37	216.62	Class2
雅渡	08:08:59	08:09:29	215.44	Class3
庙堰	08:11:38	08:12:08	215.84	Class2
钟公庙	08:13:41	08:14:11	216.84	Class2
鄞州区政府	08:15:37	08:16:07	219.4	Class2
钱湖南路	08:18:15	08:18:45	217.22	Class2
南高教园区	08:20:21	08:20:51	216.14	Class2
下应路	08:22:51	08:23:21	215.94	Class4
大洋江	08:25:02	08:25:32	216.82	Class2
泗港	08:27:04	08:27:34	215.84	Class3
曹隘	08:29:42	08:30:12	220.82	Class2
柳隘	08:31:58	08:32:28	215.72	Class2
海晏北路	08:33:55	08:34:25	215.84	Class2
民安东路	08:35:50	08:36:20	216.22	Class3
会展中心	08:37:36	08:38:06	216.44	Class2
院士路	08:40:07	08:40:37	217.42	Class4
盎孟港	08:42:05	08:42:35	216.04	Class2
三官堂	08:44:47	08:45:17	228.7	Class2
兴庄路	08:47:06	08:47:36	218.52	Class4
兴海南路	08:49:07	08:49:37	215.64	Class3
梅堰	08:51:03	08:51:33	215.44	Class4
永茂路	08:56:31	08:57:01	217.12	Class2
镇海大道	08:59:22	08:59:52	216.54	Class2
骆驼桥	09:01:48	09:01:48	216.74	Class2
