Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:52	08:02:22	215.24	Class2
同德路	08:04:50	08:05:20	215.34	Class2
石碶	08:07:04	08:07:34	215.34	Class2
雅渡	08:08:54	08:09:24	215.44	Class2
庙堰	08:11:43	08:12:13	225.7	Class4
钟公庙	08:13:49	08:14:19	215.64	Class3
鄞州区政府	08:15:45	08:16:15	228.1	Class2
钱湖南路	08:18:27	08:18:57	215.44	Class3
南高教园区	08:20:33	08:21:03	215.84	Class2
下应路	08:22:53	08:23:23	221.5	Class2
大洋江	08:25:09	08:25:39	216.24	Class3
泗港	08:27:06	08:27:36	231.2	Class2
曹隘	08:29:46	08:30:16	215.84	Class3
柳隘	08:32:02	08:32:32	215.24	Class2
海晏北路	08:34:04	08:34:34	216.82	Class3
民安东路	08:35:59	08:36:29	219.72	Class3
会展中心	08:37:48	08:38:18	228.0	Class3
院士路	08:40:10	08:40:40	217.44	Class2
盎孟港	08:42:16	08:42:46	219.22	Class4
三官堂	08:44:58	08:45:28	216.94	Class2
兴庄路	08:47:07	08:47:37	215.54	Class2
兴海南路	08:49:04	08:49:34	218.72	Class2
梅堰	08:50:52	08:51:22	215.54	Class2
永茂路	08:56:35	08:57:05	215.44	Class3
镇海大道	08:59:33	09:00:03	215.54	Class3
骆驼桥	09:02:05	09:02:05	215.44	Class3
