Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:52	08:02:22	215.24	Class2
同德路	08:04:50	08:05:20	215.34	Class2
石碶	08:07:04	08:07:34	216.62	Class2
雅渡	08:09:00	08:09:30	216.94	Class4
庙堰	08:11:49	08:12:19	215.64	Class4
钟公庙	08:13:52	08:14:22	216.14	Class2
鄞州区政府	08:15:57	08:16:27	215.84	Class4
钱湖南路	08:18:46	08:19:16	215.54	Class4
南高教园区	08:20:52	08:21:22	216.42	Class2
下应路	08:23:16	08:23:46	216.34	Class3
大洋江	08:25:32	08:26:02	222.1	Class3
泗港	08:27:34	08:28:04	219.92	Class3
曹隘	08:30:12	08:30:42	217.02	Class2
柳隘	08:32:28	08:32:58	215.92	Class2
海晏北路	08:34:25	08:34:55	225.1	Class2
民安东路	08:36:20	08:36:50	219.72	Class3
会展中心	08:38:09	08:38:39	218.42	Class3
院士路	08:40:31	08:41:01	215.92	Class2
盎孟港	08:42:29	08:42:59	216.82	Class2
三官堂	08:45:11	08:45:41	218.4	Class2
兴庄路	08:47:20	08:47:50	215.74	Class2
兴海南路	08:49:21	08:49:51	215.44	Class3
梅堰	08:51:13	08:51:43	216.04	Class3
永茂路	08:56:41	08:57:11	215.74	Class2
镇海大道	08:59:32	09:00:02	215.74	Class2
骆驼桥	09:01:58	09:01:58	216.32	Class2
