Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:52	08:02:22	215.24	Class2
同德路	08:05:01	08:05:31	215.24	Class4
石碶	08:07:15	08:07:45	215.24	Class2
雅渡	08:09:11	08:09:41	215.64	Class4
庙堰	08:11:50	08:12:20	215.24	Class2
钟公庙	08:14:01	08:14:31	215.34	Class4
鄞州区政府	08:16:01	08:16:31	216.24	Class3
钱湖南路	08:18:39	08:19:09	217.22	Class2
南高教园区	08:20:54	08:21:24	216.82	Class4
下应路	08:23:14	08:23:44	216.64	Class2
大洋江	08:25:30	08:26:00	216.64	Class3
泗港	08:27:27	08:27:57	216.94	Class2
曹隘	08:30:05	08:30:35	215.84	Class2
柳隘	08:32:23	08:32:53	216.44	Class3
海晏北路	08:34:20	08:34:50	225.5	Class2
民安东路	08:36:15	08:36:45	216.22	Class3
会展中心	08:38:01	08:38:31	220.12	Class2
院士路	08:40:32	08:41:02	217.72	Class4
盎孟港	08:42:30	08:43:00	216.32	Class2
三官堂	08:45:12	08:45:42	218.4	Class2
兴庄路	08:47:26	08:47:56	224.3	Class3
兴海南路	08:49:27	08:49:57	215.34	Class3
梅堰	08:51:15	08:51:45	217.82	Class2
永茂路	08:56:43	08:57:13	215.34	Class2
镇海大道	08:59:34	09:00:04	217.02	Class2
骆驼桥	09:02:00	09:02:00	215.64	Class2
