Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:52	08:02:22	215.34	Class2
同德路	08:04:50	08:05:20	215.94	Class2
石碶	08:07:04	08:07:34	215.24	Class2
雅渡	08:08:54	08:09:24	217.04	Class2
庙堰	08:11:36	08:12:06	222.3	Class3
钟公庙	08:13:39	08:14:09	227.8	Class2
鄞州区政府	08:15:35	08:16:05	215.74	Class2
钱湖南路	08:18:17	08:18:47	216.62	Class3
南高教园区	08:20:23	08:20:53	217.92	Class2
下应路	08:22:43	08:23:13	224.8	Class2
大洋江	08:24:54	08:25:24	232.0	Class2
泗港	08:26:51	08:27:21	216.64	Class2
曹隘	08:29:29	08:29:59	216.84	Class2
柳隘	08:31:47	08:32:17	220.7	Class3
海晏北路	08:33:44	08:34:14	215.74	Class2
民安东路	08:35:39	08:36:09	219.32	Class3
会展中心	08:37:32	08:38:02	220.12	Class4
院士路	08:39:54	08:40:24	220.12	Class2
盎孟港	08:41:52	08:42:22	217.64	Class2
三官堂	08:44:34	08:45:04	225.8	Class2
兴庄路	08:46:53	08:47:23	224.3	Class4
兴海南路	08:48:54	08:49:24	218.04	Class3
梅堰	08:50:46	08:51:16	216.04	Class3
永茂路	08:56:14	08:56:44	215.24	Class2
镇海大道	08:59:05	08:59:35	215.64	Class2
骆驼桥	09:01:31	09:01:31	215.64	Class2
