Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.34	-
张家潭	08:01:52	08:02:22	215.34	Class2
同德路	08:04:53	08:05:23	215.44	Class3
石碶	08:07:07	08:07:37	215.24	Class2
雅渡	08:09:03	08:09:33	222.3	Class4
庙堰	08:11:42	08:12:12	215.44	Class2
钟公庙	08:13:45	08:14:15	215.24	Class2
鄞州区政府	08:15:45	08:16:15	219.62	Class3
钱湖南路	08:18:27	08:18:57	221.42	Class3
南高教园区	08:20:37	08:21:07	220.02	Class3
下应路	08:23:07	08:23:37	216.24	Class4
大洋江	08:25:28	08:25:58	218.22	Class4
泗港	08:27:34	08:28:04	217.72	Class4
曹隘	08:30:12	08:30:42	216.94	Class2
柳隘	08:32:28	08:32:58	216.74	Class2
海晏北路	08:34:25	08:34:55	215.64	Class2
民安东路	08:36:20	08:36:50	215.74	Class3
会展中心	08:38:06	08:38:36	221.5	Class2
院士路	08:40:37	08:41:07	216.74	Class4
盎孟港	08:42:38	08:43:08	216.04	Class3
三官堂	08:45:20	08:45:50	215.74	Class2
兴庄路	08:47:29	08:47:59	215.74	Class2
兴海南路	08:49:26	08:49:56	215.84	Class2
梅堰	08:51:14	08:51:44	215.64	Class2
永茂路	08:56:42	08:57:12	216.14	Class2
镇海大道	08:59:33	09:00:03	215.64	Class2
骆驼桥	09:02:11	09:02:11	215.84	Class4
