Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:55	08:02:25	215.34	Class3
同德路	08:04:56	08:05:26	215.74	Class3
石碶	08:07:10	08:07:40	216.72	Class2
雅渡	08:09:02	08:09:32	215.94	Class3
庙堰	08:11:44	08:12:14	217.24	Class3
钟公庙	08:13:47	08:14:17	215.94	Class2
鄞州区政府	08:15:43	08:16:13	216.32	Class2
钱湖南路	08:18:21	08:18:51	216.62	Class2
南高教园区	08:20:31	08:21:01	216.34	Class3
下应路	08:22:55	08:23:25	221.5	Class3
大洋江	08:25:06	08:25:36	232.0	Class2
泗港	08:27:03	08:27:33	216.04	Class2
曹隘	08:29:43	08:30:13	216.94	Class3
柳隘	08:32:01	08:32:31	216.24	Class3
海晏北路	08:34:07	08:34:37	215.24	Class4
民安东路	08:36:00	08:36:30	247.7	Class2
会展中心	08:37:49	08:38:19	223.6	Class3
院士路	08:40:11	08:40:41	216.14	Class2
盎孟港	08:42:09	08:42:39	217.92	Class2
三官堂	08:44:51	08:45:21	215.44	Class2
兴庄路	08:47:10	08:47:40	216.24	Class4
兴海南路	08:49:07	08:49:37	216.22	Class2
梅堰	08:50:59	08:51:29	216.22	Class3
永茂路	08:56:27	08:56:57	215.44	Class2
镇海大道	08:59:18	08:59:48	215.54	Class2
骆驼桥	09:01:50	09:01:50	215.44	Class3
