Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:01:55	08:02:25	215.24	Class3
同德路	08:05:04	08:05:34	215.94	Class4
石碶	08:07:23	08:07:53	215.34	Class3
雅渡	08:09:15	08:09:45	215.74	Class3
庙堰	08:11:54	08:12:24	215.74	Class2
钟公庙	08:14:00	08:14:30	215.84	Class3
鄞州区政府	08:15:56	08:16:26	215.54	Class2
钱湖南路	08:18:34	08:19:04	218.42	Class2
南高教园区	08:20:49	08:21:19	216.54	Class4
下应路	08:23:13	08:23:43	222.9	Class3
大洋江	08:25:29	08:25:59	216.64	Class3
泗港	08:27:31	08:28:01	216.44	Class3
曹隘	08:30:09	08:30:39	225.2	Class2
柳隘	08:32:25	08:32:55	220.7	Class2
海晏北路	08:34:27	08:34:57	216.44	Class3
民安东路	08:36:20	08:36:50	217.74	Class2
会展中心	08:38:06	08:38:36	217.82	Class2
院士路	08:40:28	08:40:58	216.44	Class2
盎孟港	08:42:29	08:42:59	215.94	Class3
三官堂	08:45:11	08:45:41	228.7	Class2
兴庄路	08:47:25	08:47:55	215.74	Class3
兴海南路	08:49:26	08:49:56	215.74	Class3
梅堰	08:51:14	08:51:44	215.54	Class2
永茂路	08:56:42	08:57:12	215.54	Class2
镇海大道	08:59:33	09:00:03	215.44	Class2
骆驼桥	09:01:59	09:01:59	215.54	Class2
