Name	Arrival	Departure	Mass_t	Class
布政	08:00:00	08:00:00	215.24	-
张家潭	08:02:01	08:02:31	215.24	Class4
同德路	08:05:02	08:05:32	215.34	Class3
石碶	08:07:21	08:07:51	215.34	Class3
雅渡	08:09:13	08:09:43	215.44	Class3
庙堰	08:11:52	08:12:22	216.84	Class2
钟公庙	08:13:55	08:14:25	226.0	Class2
鄞州区政府	08:15:55	08:16:25	215.94	Class3
钱湖南路	08:18:33	08:19:03	215.44	Class2
南高教园区	08:20:39	08:21:09	216.44	Class2
下应路	08:22:59	08:23:29	215.64	Class2
大洋江	08:25:10	08:25:40	238.6	Class2
泗港	08:27:07	08:27:37	216.24	Class2
曹隘	08:29:45	08:30:15	215.74	Class2
柳隘	08:32:03	08:32:33	216.04	Class3
海晏北路	08:34:05	08:34:35	216.04	Class3
民安东路	08:35:58	08:36:28	217.04	Class2
会展中心	08:37:44	08:38:14	216.54	Class2
院士路	08:40:15	08:40:45	215.92	Class4
盎孟港	08:42:13	08:42:43	216.82	Class2
三官堂	08:44:55	08:45:25	216.94	Class2
兴庄路	08:47:04	08:47:34	222.6	Class2
兴海南路	08:49:01	08:49:31	218.72	Class2
梅堰	08:50:53	08:51:23	217.22	Class3
永茂路	08:56:21	08:56:51	217.12	Class2
镇海大道	08:59:19	08:59:49	217.12	Class3
骆驼桥	09:01:45	09:01:45	215.74	Class2
